Time, Emission CO2
   0.000000,    0.105134
   0.100000,  105.139496
   0.200000,  210.328675
   0.300000,  315.523973
   0.400000,  420.719271
   0.500000,  525.914569
   0.600000,  631.109867
   0.700000,  736.305166
   0.800000,  841.500464
   0.900000,  946.695762
   1.000000, 1051.891060
   1.100000, 1157.086358
   1.200000, 1262.356202
   1.300000, 1367.635355
   1.400000, 1472.914507
   1.500000, 1578.193659
   1.600000, 1683.472811
   1.700000, 1788.751963
   1.800000, 1894.031116
   1.900000, 1999.310268
   2.000000, 2104.589420
   2.100000, 2209.868572
   2.200000, 2315.201965
   2.300000, 2420.542129
   2.400000, 2525.882294
   2.500000, 2631.222459
   2.600000, 2736.562624
   2.700000, 2841.902789
   2.800000, 2947.242954
   2.900000, 3052.583119
   3.000000, 3157.923284
   3.100000, 3263.263448
   3.200000, 3368.638206
   3.300000, 3474.017283
   3.400000, 3579.396360
   3.500000, 3684.775437
   3.600000, 3790.154514
   3.700000, 3895.533591
   3.800000, 4000.912668
   3.900000, 4106.291745
   4.000000, 4211.670822
   4.100000, 4317.049899
   4.200000, 4422.444595
   4.300000, 4527.841242
   4.400000, 4633.237889
   4.500000, 4738.634536
   4.600000, 4844.031184
   4.700000, 4949.427831
   4.800000, 5054.824478
   4.900000, 5160.221125
   5.000000, 5265.617772
   5.100000, 5371.014419
   5.200000, 5476.413663
   5.300000, 5581.813231
   5.400000, 5687.212800
   5.500000, 5792.612368
   5.600000, 5898.011936
   5.700000, 6003.411505
   5.800000, 6108.811073
   5.900000, 6214.210642
   6.000000, 6319.610210
   6.100000, 6425.009778
   6.200000, 6530.503918
   6.300000, 6636.009865
   6.400000, 6741.515813
   6.500000, 6847.021760
   6.600000, 6952.527707
   6.700000, 7058.033655
   6.800000, 7163.539602
   6.900000, 7269.045550
   7.000000, 7374.551497
   7.100000, 7480.057444
   7.200000, 7585.648188
   7.300000, 7691.249520
   7.400000, 7796.850851
   7.500000, 7902.452183
   7.600000, 8008.053515
   7.700000, 8113.654846
   7.800000, 8219.256178
   7.900000, 8324.857509
   8.000000, 8430.458841
   8.100000, 8536.060172
   8.200000, 8641.705425
   8.300000, 8747.356162
   8.400000, 8853.006899
   8.500000, 8958.657636
   8.600000, 9064.308372
   8.700000, 9169.959109
   8.800000, 9275.609846
   8.900000, 9381.260583
   9.000000, 9486.911320
   9.100000, 9592.562057
   9.200000, 9698.218073
   9.300000, 9803.874750
   9.400000, 9909.531426
   9.500000, 10015.188102
   9.600000, 10120.844778
   9.700000, 10226.501454
   9.800000, 10332.158130
   9.900000, 10437.814806
  10.000000, 10543.471482
  10.100000, 10649.128158
  10.200000, 10754.753669
  10.300000, 10860.375289
  10.400000, 10965.996908
  10.500000, 11071.618528
  10.600000, 11177.240147
  10.700000, 11282.861767
  10.800000, 11388.483386
  10.900000, 11494.105006
  11.000000, 11599.726625
  11.100000, 11705.348245
  11.200000, 11810.904407
  11.300000, 11916.452397
  11.400000, 12022.000386
  11.500000, 12127.548376
  11.600000, 12233.096365
  11.700000, 12338.644355
  11.800000, 12444.192345
  11.900000, 12549.740334
  12.000000, 12655.288324
  12.100000, 12760.836313
  12.200000, 12866.457532
  12.300000, 12972.087893
  12.400000, 13077.718255
  12.500000, 13183.348616
  12.600000, 13288.978978
  12.700000, 13394.609339
  12.800000, 13500.239701
  12.900000, 13605.870062
  13.000000, 13711.500424
