V/VsTO, Thrust - Yawing Moment
   0.310052, 357088.850224
   0.313345, 356833.112425
   0.316638, 356577.374627
   0.319931, 356321.636828
   0.323224, 356065.899029
   0.326517, 355810.161230
   0.329810, 355554.423431
   0.333102, 355298.685633
   0.336395, 355042.947834
   0.339688, 354787.210035
   0.342981, 354531.472236
   0.346274, 354275.952433
   0.349567, 354020.564183
   0.352860, 353765.175933
   0.356153, 353509.787683
   0.359446, 353254.399434
   0.362739, 352999.011184
   0.366032, 352743.622934
   0.369325, 352488.234684
   0.372618, 352232.846435
   0.375911, 351977.458185
   0.379204, 351722.069935
   0.382497, 351466.681685
   0.385790, 351211.293436
   0.389083, 350955.905186
   0.392376, 350700.516936
   0.395669, 350445.128686
   0.398962, 350189.740436
   0.402255, 349934.352187
   0.405548, 349678.963937
   0.408841, 349423.575687
   0.412134, 349168.187437
   0.415427, 348912.799188
   0.418720, 348657.410938
   0.422013, 348402.022688
   0.425305, 348146.634438
   0.428598, 347891.246188
   0.431891, 347636.070888
   0.435184, 347381.116687
   0.438477, 347126.162486
   0.441770, 346871.208285
   0.445063, 346616.254084
   0.448356, 346361.299883
   0.451649, 346106.345682
   0.454942, 345851.391481
   0.458235, 345596.437281
   0.461528, 345341.483080
   0.464821, 345086.528879
   0.468114, 344831.574678
   0.471407, 344576.620477
   0.474700, 344321.666276
   0.477993, 344066.712075
   0.481286, 343811.757874
   0.484579, 343556.803674
   0.487872, 343301.849473
   0.491165, 343046.895272
   0.494458, 342791.941071
   0.497751, 342536.986870
   0.501044, 342282.032669
   0.504337, 342027.078468
   0.507630, 341772.124267
   0.510923, 341517.170066
   0.514216, 341262.215866
   0.517509, 341007.448913
   0.520801, 340753.018367
   0.524094, 340498.587821
   0.527387, 340244.157275
   0.530680, 339989.726729
   0.533973, 339735.296183
   0.537266, 339480.865637
   0.540559, 339226.435091
   0.543852, 338972.004545
   0.547145, 338717.573999
   0.550438, 338463.143453
   0.553731, 338208.712907
   0.557024, 337954.282361
   0.560317, 337699.851815
   0.563610, 337445.421269
   0.566903, 337190.990723
   0.570196, 336936.560177
   0.573489, 336682.129631
   0.576782, 336427.699085
   0.580075, 336173.268539
   0.583368, 335918.837993
   0.586661, 335664.407447
   0.589954, 335409.976901
   0.593247, 335155.546355
   0.596540, 334901.115809
   0.599833, 334646.685263
   0.603126, 334392.382362
   0.606419, 334138.520301
   0.609712, 333884.658240
   0.613004, 333630.796179
   0.616297, 333376.934117
   0.619590, 333123.072056
   0.622883, 332869.209995
   0.626176, 332615.347934
   0.629469, 332361.485872
   0.632762, 332107.623811
   0.636055, 331853.761750
   0.639348, 331599.899689
   0.642641, 331346.037627
   0.645934, 331092.175566
   0.649227, 330838.313505
   0.652520, 330584.451444
   0.655813, 330330.589383
   0.659106, 330076.727321
   0.662399, 329822.865260
   0.665692, 329569.003199
   0.668985, 329315.141138
   0.672278, 329061.279076
   0.675571, 328807.417015
   0.678864, 328553.554954
   0.682157, 328299.692893
   0.685450, 328045.830831
   0.688743, 327791.997439
   0.692036, 327538.448684
   0.695329, 327284.899928
   0.698622, 327031.351172
   0.701915, 326777.802417
   0.705208, 326524.253661
   0.708500, 326270.704905
   0.711793, 326017.156150
   0.715086, 325763.607394
   0.718379, 325510.058638
   0.721672, 325256.509883
   0.724965, 325002.961127
   0.728258, 324749.412371
   0.731551, 324495.863616
   0.734844, 324242.314860
   0.738137, 323988.766104
   0.741430, 323735.217349
   0.744723, 323481.668593
   0.748016, 323228.119837
   0.751309, 322974.571081
   0.754602, 322721.022326
   0.757895, 322467.473570
   0.761188, 322213.924814
   0.764481, 321960.376059
   0.767774, 321706.827303
   0.771067, 321453.278547
   0.774360, 321199.729792
   0.777653, 320946.105514
   0.780946, 320692.477964
   0.784239, 320438.850414
   0.787532, 320185.222864
   0.790825, 319931.595314
   0.794118, 319677.967764
   0.797411, 319424.340214
   0.800704, 319170.712664
   0.803996, 318917.085114
   0.807289, 318663.457564
   0.810582, 318409.830014
   0.813875, 318156.202464
   0.817168, 317902.574914
   0.820461, 317648.947364
   0.823754, 317395.319814
   0.827047, 317141.692264
   0.830340, 316888.064714
   0.833633, 316634.437164
   0.836926, 316380.809614
   0.840219, 316127.182064
   0.843512, 315873.554514
   0.846805, 315619.926964
   0.850098, 315366.299414
   0.853391, 315112.671864
   0.856684, 314859.044314
   0.859977, 314605.416765
   0.863270, 314351.396310
   0.866563, 314097.292762
   0.869856, 313843.189213
   0.873149, 313589.085664
   0.876442, 313334.982116
   0.879735, 313080.878567
   0.883028, 312826.775019
   0.886321, 312572.671470
   0.889614, 312318.567921
   0.892907, 312064.464373
   0.896199, 311810.360824
   0.899492, 311556.257275
   0.902785, 311302.153727
   0.906078, 311048.050178
   0.909371, 310793.946630
   0.912664, 310539.843081
   0.915957, 310285.739532
   0.919250, 310031.635984
   0.922543, 309777.532435
   0.925836, 309523.428886
   0.929129, 309269.325338
   0.932422, 309015.221789
   0.935715, 308761.118241
   0.939008, 308507.014692
   0.942301, 308252.911143
   0.945594, 307998.807595
   0.948887, 307743.731302
   0.952180, 307488.222840
   0.955473, 307232.714378
   0.958766, 306977.205916
   0.962059, 306721.697454
   0.965352, 306466.188992
   0.968645, 306210.680530
   0.971938, 305955.172068
   0.975231, 305699.663606
   0.978524, 305444.155144
   0.981817, 305188.646682
   0.985110, 304933.138220
   0.988403, 304677.629758
   0.991695, 304422.121296
   0.994988, 304166.612834
   0.998281, 303911.104372
   1.001574, 303655.595910
   1.004867, 303400.087448
   1.008160, 303144.578986
   1.011453, 302889.070524
   1.014746, 302633.562062
   1.018039, 302378.053600
   1.021332, 302122.545138
   1.024625, 301867.036676
   1.027918, 301611.528214
   1.031211, 301356.019752
   1.034504, 301098.521928
   1.037797, 300839.457039
   1.041090, 300580.392151
   1.044383, 300321.327263
   1.047676, 300062.262374
   1.050969, 299803.197486
   1.054262, 299544.132598
   1.057555, 299285.067709
   1.060848, 299026.002821
   1.064141, 298766.937933
   1.067434, 298507.873045
   1.070727, 298248.808156
   1.074020, 297989.743268
   1.077313, 297730.678380
   1.080606, 297471.613491
   1.083898, 297212.548603
   1.087191, 296953.483715
   1.090484, 296694.418827
   1.093777, 296435.353938
   1.097070, 296176.289050
   1.100363, 295917.224162
   1.103656, 295658.159273
   1.106949, 295399.094385
   1.110242, 295140.029497
   1.113535, 294880.964608
   1.116828, 294621.899720
   1.120121, 294360.330298
   1.123414, 294095.390733
   1.126707, 293830.451167
   1.130000, 293565.511602
