eta, CL
   0.000000,    0.591193
   0.020408,    0.595573
   0.040816,    0.604046
   0.061224,    0.612273
   0.081633,    0.620216
   0.102041,    0.627858
   0.122449,    0.635192
   0.142857,    0.642216
   0.163265,    0.648930
   0.183673,    0.655336
   0.204082,    0.661431
   0.224490,    0.667211
   0.244898,    0.672669
   0.265306,    0.677789
   0.285714,    0.682430
   0.306122,    0.685880
   0.326531,    0.687437
   0.346939,    0.688207
   0.367347,    0.688515
   0.387755,    0.688398
   0.408163,    0.687881
   0.428571,    0.686981
   0.448980,    0.685712
   0.469388,    0.684083
   0.489796,    0.682099
   0.510204,    0.679760
   0.530612,    0.677062
   0.551020,    0.674004
   0.571429,    0.670576
   0.591837,    0.666763
   0.612245,    0.662544
   0.632653,    0.657891
   0.653061,    0.652769
   0.673469,    0.647131
   0.693878,    0.640918
   0.714286,    0.634053
   0.734694,    0.626437
   0.755102,    0.617943
   0.775510,    0.608404
   0.795918,    0.597598
   0.816327,    0.585228
   0.836735,    0.570891
   0.857143,    0.554020
   0.877551,    0.533807
   0.897959,    0.509049
   0.918367,    0.477881
   0.938776,    0.437201
   0.959184,    0.381260
   0.979592,    0.296761
   1.000000,    0.000000
