CD, CL
   0.005818,   -0.046470
   0.005389,    0.007114
   0.005230,    0.060699
   0.005320,    0.114284
   0.005673,    0.167869
   0.006281,    0.221454
   0.007148,    0.275039
   0.008271,    0.328623
   0.009653,    0.382208
   0.011293,    0.435793
   0.013189,    0.489378
   0.015352,    0.542963
   0.017775,    0.596548
   0.020463,    0.650132
   0.023404,    0.703717
   0.026607,    0.757302
   0.030067,    0.810887
   0.033784,    0.864472
   0.037760,    0.918057
   0.041991,    0.971642
   0.046485,    1.025226
   0.051230,    1.078811
   0.056243,    1.132396
   0.061512,    1.185981
   0.067046,    1.239566
   0.072764,    1.292394
   0.071548,    1.272451
   0.074041,    1.290382
   0.186468,    2.150298
   1.112570,    5.398752
