CL_e, CD_e
   0.023032,   -0.109881
   0.021854,   -0.028559
   0.021340,    0.052896
   0.021479,    0.134483
   0.022292,    0.216205
   0.023773,    0.298177
   0.025927,    0.380161
   0.028767,    0.462285
   0.032315,    0.544548
   0.036573,    0.626954
   0.041553,    0.709505
   0.047256,    0.792203
   0.053700,    0.875049
   0.060892,    0.958045
   0.068837,    1.041194
   0.077522,    1.122728
   0.086247,    1.189293
   0.093845,    1.230668
   0.099561,    1.248509
   0.103251,    1.256454
   0.105496,    1.280188
   0.107292,    1.357524
   0.111259,    1.538497
   0.116677,    1.885442
