CL_e, CD_e
   0.023032,   -0.119284
   0.021854,   -0.031054
   0.021340,    0.057325
   0.021479,    0.145852
   0.022278,    0.234526
   0.023741,    0.323473
   0.025876,    0.412431
   0.028698,    0.501536
   0.032228,    0.590787
   0.036465,    0.680185
   0.041411,    0.769731
   0.047079,    0.859426
   0.053487,    0.949268
   0.060645,    1.039259
   0.068555,    1.129400
   0.077196,    1.217773
   0.085864,    1.289894
   0.093398,    1.334678
   0.099049,    1.353913
   0.102673,    1.362375
   0.104777,    1.387882
   0.106403,    1.471368
   0.108924,    1.666959
   0.113896,    2.042038
   0.123248,    2.677285
