alpha body, CM
  -4.000000,   -0.261369
  -3.172414,   -0.239852
  -2.344828,   -0.217696
  -1.517241,   -0.194907
  -0.689655,   -0.171496
   0.137931,   -0.147017
   0.965517,   -0.122404
   1.793103,   -0.097178
   2.620690,   -0.071348
   3.448276,   -0.044925
   4.275862,   -0.017917
   5.103448,    0.008829
   5.931034,    0.034908
   6.758621,    0.061175
   7.586207,    0.087613
   8.413793,    0.113998
   9.241379,    0.138787
  10.068966,    0.159695
  10.896552,    0.174597
  11.724138,    0.181592
  12.551724,    0.179900
  13.379310,    0.172981
  14.206897,    0.179052
  15.034483,    0.186392
  15.862069,    0.191268
  16.689655,    0.192334
  17.517241,    0.189139
  18.344828,    0.182165
  19.172414,    0.172866
  20.000000,    0.163706
