alpha body, CM
  -4.000000,    0.166226
  -3.172414,    0.188719
  -2.344828,    0.211763
  -1.517241,    0.235350
  -0.689655,    0.259472
   0.137931,    0.284572
   0.965517,    0.309716
   1.793103,    0.335385
   2.620690,    0.361569
   3.448276,    0.388257
   4.275862,    0.415440
   5.103448,    0.442272
   5.931034,    0.468348
   6.758621,    0.494521
   7.586207,    0.520777
   8.413793,    0.546890
   9.241379,    0.571317
  10.068966,    0.591775
  10.896552,    0.606138
  11.724138,    0.612505
  12.551724,    0.610095
  13.379310,    0.602370
  14.206897,    0.607547
  15.034483,    0.613904
  15.862069,    0.617709
  16.689655,    0.617616
  17.517241,    0.613174
  18.344828,    0.604865
  19.172414,    0.594145
  20.000000,    0.583477
