alpha body, CM
  -4.000000,    0.340398
  -3.172414,    0.363262
  -2.344828,    0.386642
  -1.517241,    0.410529
  -0.689655,    0.434915
   0.137931,    0.460244
   0.965517,    0.485582
   1.793103,    0.511409
   2.620690,    0.537714
   3.448276,    0.564488
   4.275862,    0.591721
   5.103448,    0.618567
   5.931034,    0.644622
   6.758621,    0.670738
   7.586207,    0.696901
   8.413793,    0.722886
   9.241379,    0.747148
  10.068966,    0.767406
  10.896552,    0.781533
  11.724138,    0.787628
  12.551724,    0.784912
  13.379310,    0.776843
  14.206897,    0.781642
  15.034483,    0.787586
  15.862069,    0.790942
  16.689655,    0.790366
  17.517241,    0.785405
  18.344828,    0.776542
  19.172414,    0.765234
  20.000000,    0.753942
