alpha body, CM
  -4.000000,   -0.477203
  -3.172414,   -0.456199
  -2.344828,   -0.434511
  -1.517241,   -0.412146
  -0.689655,   -0.389113
   0.137931,   -0.364967
   0.965517,   -0.340643
   1.793103,   -0.315660
   2.620690,   -0.290027
   3.448276,   -0.263756
   4.275862,   -0.236855
   5.103448,   -0.210170
   5.931034,   -0.184107
   6.758621,   -0.157810
   7.586207,   -0.131298
   8.413793,   -0.104792
   9.241379,   -0.079838
  10.068966,   -0.058719
  10.896552,   -0.043560
  11.724138,   -0.036264
  12.551724,   -0.037609
  13.379310,   -0.044137
  14.206897,   -0.037628
  15.034483,   -0.029806
  15.862069,   -0.024404
  16.689655,   -0.022766
  17.517241,   -0.025346
  18.344828,   -0.031660
  19.172414,   -0.040253
  20.000000,   -0.048664
