alpha body, CM
  -4.000000,    0.550260
  -3.172414,    0.573419
  -2.344828,    0.597054
  -1.517241,    0.621156
  -0.689655,    0.645716
   0.137931,    0.671179
   0.965517,    0.696610
   1.793103,    0.722490
   2.620690,    0.748808
   3.448276,    0.775554
   4.275862,    0.802719
   5.103448,    0.829456
   5.931034,    0.855361
   6.758621,    0.881288
   7.586207,    0.907220
   8.413793,    0.932935
   9.241379,    0.956887
  10.068966,    0.976793
  10.896552,    0.990530
  11.724138,    0.996194
  12.551724,    0.993007
  13.379310,    0.984428
  14.206897,    0.988676
  15.034483,    0.994030
  15.862069,    0.996757
  16.689655,    0.995512
  17.517241,    0.989842
  18.344828,    0.980233
  19.172414,    0.968139
  20.000000,    0.956022
