alpha body, CM
  -4.000000,    0.413143
  -3.172414,    0.436058
  -2.344828,    0.459475
  -1.517241,    0.483387
  -0.689655,    0.507785
   0.137931,    0.533113
   0.965517,    0.558437
   1.793103,    0.584237
   2.620690,    0.610503
   3.448276,    0.637224
   4.275862,    0.664393
   5.103448,    0.691161
   5.931034,    0.717124
   6.758621,    0.743137
   7.586207,    0.769183
   8.413793,    0.795039
   9.241379,    0.819160
  10.068966,    0.839262
  10.896552,    0.853223
  11.724138,    0.859137
  12.551724,    0.856229
  13.379310,    0.847955
  14.206897,    0.852537
  15.034483,    0.858251
  15.862069,    0.861365
  16.689655,    0.860533
  17.517241,    0.855305
  18.344828,    0.846164
  19.172414,    0.834564
  20.000000,    0.822969
