alpha body, CM
  -4.000000,    0.370638
  -3.172414,    0.393519
  -2.344828,    0.416910
  -1.517241,    0.440804
  -0.689655,    0.465192
   0.137931,    0.490517
   0.965517,    0.515846
   1.793103,    0.541659
   2.620690,    0.567945
   3.448276,    0.594694
   4.275862,    0.621898
   5.103448,    0.648710
   5.931034,    0.674724
   6.758621,    0.700796
   7.586207,    0.726908
   8.413793,    0.752838
   9.241379,    0.777040
  10.068966,    0.797232
  10.896552,    0.811289
  11.724138,    0.817308
  12.551724,    0.814511
  13.379310,    0.806357
  14.206897,    0.811065
  15.034483,    0.816913
  15.862069,    0.820169
  16.689655,    0.819487
  17.517241,    0.814415
  18.344828,    0.805437
  19.172414,    0.794008
  20.000000,    0.782591
