eta, Cd
   0.000000,    0.015606
   0.020408,    0.015641
   0.040816,    0.015680
   0.061224,    0.015707
   0.081633,    0.015728
   0.102041,    0.015746
   0.122449,    0.015766
   0.142857,    0.015788
   0.163265,    0.015809
   0.183673,    0.015829
   0.204082,    0.015848
   0.224490,    0.015867
   0.244898,    0.015886
   0.265306,    0.015912
   0.285714,    0.015946
   0.306122,    0.015982
   0.326531,    0.016017
   0.346939,    0.016014
   0.367347,    0.015795
   0.387755,    0.015578
   0.408163,    0.015357
   0.428571,    0.015132
   0.448980,    0.014904
   0.469388,    0.014672
   0.489796,    0.014437
   0.510204,    0.014197
   0.530612,    0.013954
   0.551020,    0.013707
   0.571429,    0.013464
   0.591837,    0.013219
   0.612245,    0.012972
   0.632653,    0.012720
   0.653061,    0.012465
   0.673469,    0.012207
   0.693878,    0.011944
   0.714286,    0.011678
   0.734694,    0.011418
   0.755102,    0.011154
   0.775510,    0.010887
   0.795918,    0.010616
   0.816327,    0.010342
   0.836735,    0.010064
   0.857143,    0.009794
   0.877551,    0.009523
   0.897959,    0.009253
   0.918367,    0.008990
   0.938776,    0.008768
   0.959184,    0.008706
   0.979592,    0.010020
   1.000000,   -0.002809
