eta, gamma add.
   0.000000,   26.491438
   0.020408,   26.465817
   0.040816,   26.396905
   0.061224,   26.295373
   0.081633,   26.166284
   0.102041,   26.013107
   0.122449,   25.838504
   0.142857,   25.644657
   0.163265,   25.433437
   0.183673,   25.206519
   0.204082,   24.965473
   0.224490,   24.711848
   0.244898,   24.447284
   0.265306,   24.173707
   0.285714,   23.893910
   0.306122,   23.612304
   0.326531,   23.331839
   0.346939,   23.049004
   0.367347,   22.761589
   0.387755,   22.468643
   0.408163,   22.169619
   0.428571,   21.864159
   0.448980,   21.552001
   0.469388,   21.232923
   0.489796,   20.906712
   0.510204,   20.573061
   0.530612,   20.231698
   0.551020,   19.882373
   0.571429,   19.524700
   0.591837,   19.158204
   0.612245,   18.782305
   0.632653,   18.396288
   0.653061,   17.999278
   0.673469,   17.590190
   0.693878,   17.167685
   0.714286,   16.730091
   0.734694,   16.275313
   0.755102,   15.800700
   0.775510,   15.302860
   0.795918,   14.777401
   0.816327,   14.218547
   0.836735,   13.618555
   0.857143,   12.966814
   0.877551,   12.248351
   0.897959,   11.441247
   0.918367,   10.511759
   0.938776,    9.403990
   0.959184,    8.013650
   0.979592,    6.094950
   1.000000,    0.000000
