eta, gamma add.
   0.000000,  458.018361
   0.020408,  457.575396
   0.040816,  456.383951
   0.061224,  454.628537
   0.081633,  452.396687
   0.102041,  449.748356
   0.122449,  446.729594
   0.142857,  443.378109
   0.163265,  439.726261
   0.183673,  435.803021
   0.204082,  431.635509
   0.224490,  427.250504
   0.244898,  422.676375
   0.265306,  417.946429
   0.285714,  413.108933
   0.306122,  408.240157
   0.326531,  403.391117
   0.346939,  398.501097
   0.367347,  393.531890
   0.387755,  388.467062
   0.408163,  383.297141
   0.428571,  378.015952
   0.448980,  372.618959
   0.469388,  367.102333
   0.489796,  361.462369
   0.510204,  355.693788
   0.530612,  349.791849
   0.551020,  343.752274
   0.571429,  337.568356
   0.591837,  331.231899
   0.612245,  324.732860
   0.632653,  318.058908
   0.653061,  311.194873
   0.673469,  304.122038
   0.693878,  296.817218
   0.714286,  289.251529
   0.734694,  281.388741
   0.755102,  273.183009
   0.775510,  264.575705
   0.795918,  255.490891
   0.816327,  245.828688
   0.836735,  235.455254
   0.857143,  224.187103
   0.877551,  211.765382
   0.897959,  197.811128
   0.918367,  181.740927
   0.938776,  162.588378
   0.959184,  138.550389
   0.979592,  105.377404
   1.000000,    0.000000
