eta, gamma add.
   0.000000,  112.796823
   0.020408,  112.687733
   0.040816,  112.394314
   0.061224,  111.962006
   0.081633,  111.412365
   0.102041,  110.760157
   0.122449,  110.016722
   0.142857,  109.191347
   0.163265,  108.292001
   0.183673,  107.325820
   0.204082,  106.299481
   0.224490,  105.219579
   0.244898,  104.093102
   0.265306,  102.928252
   0.285714,  101.736915
   0.306122,  100.537874
   0.326531,   99.343695
   0.346939,   98.139423
   0.367347,   96.915649
   0.387755,   95.668327
   0.408163,   94.395123
   0.428571,   93.094517
   0.448980,   91.765392
   0.469388,   90.406805
   0.489796,   89.017843
   0.510204,   87.597207
   0.530612,   86.143728
   0.551020,   84.656353
   0.571429,   83.133431
   0.591837,   81.572943
   0.612245,   79.972416
   0.632653,   78.328812
   0.653061,   76.638397
   0.673469,   74.896560
   0.693878,   73.097591
   0.714286,   71.234379
   0.734694,   69.297999
   0.755102,   67.277162
   0.775510,   65.157429
   0.795918,   62.920099
   0.816327,   60.540575
   0.836735,   57.985895
   0.857143,   55.210871
   0.877551,   52.151757
   0.897959,   48.715223
   0.918367,   44.757592
   0.938776,   40.040867
   0.959184,   34.120998
   0.979592,   25.951441
   1.000000,    0.000000
