CLh_e, CDh_e
  -0.495039,    0.006429
  -0.450261,    0.006258
  -0.406508,    0.006102
  -0.363733,    0.005969
  -0.322019,    0.005848
  -0.281359,    0.005759
  -0.241735,    0.005683
  -0.203104,    0.005668
  -0.163667,    0.005665
  -0.126802,    0.005690
  -0.091011,    0.005733
  -0.056296,    0.005794
  -0.022697,    0.005875
   0.009813,    0.005972
   0.041277,    0.006100
   0.071674,    0.006286
   0.100967,    0.006499
   0.129170,    0.006727
   0.156266,    0.006978
   0.182265,    0.007241
   0.207163,    0.007536
   0.230993,    0.007911
   0.253608,    0.008315
   0.274430,    0.008763
   0.293074,    0.009284
   0.309421,    0.010074
   0.323599,    0.011239
   0.335923,    0.017813
   0.346860,    0.018559
