CLh_e, CDh_e
  -0.449241,    0.006429
  -0.391437,    0.006258
  -0.334682,    0.006102
  -0.278938,    0.005969
  -0.224291,    0.005848
  -0.170744,    0.005759
  -0.118283,    0.005681
  -0.066870,    0.005631
  -0.014668,    0.005592
   0.034861,    0.005575
   0.083244,    0.005573
   0.130475,    0.005590
   0.176506,    0.005624
   0.221363,    0.005673
   0.265084,    0.005741
   0.307647,    0.005822
   0.349005,    0.005927
   0.389171,    0.006043
   0.428122,    0.006178
   0.465865,    0.006321
   0.502393,    0.006482
   0.537736,    0.006653
   0.571595,    0.006841
   0.602793,    0.007045
   0.630405,    0.007287
   0.653937,    0.007637
   0.673308,    0.008139
   0.688782,    0.008811
   0.700935,    0.009748
   0.710078,    0.010907
   0.714060,    0.012172
