CLh_e, CDh_e
  -0.449623,    0.006429
  -0.391928,    0.006258
  -0.335281,    0.006102
  -0.279645,    0.005969
  -0.225107,    0.005848
  -0.171667,    0.005759
  -0.119313,    0.005681
  -0.068007,    0.005631
  -0.015911,    0.005592
   0.033512,    0.005575
   0.081790,    0.005573
   0.128916,    0.005590
   0.174843,    0.005624
   0.219596,    0.005673
   0.263216,    0.005741
   0.305676,    0.005822
   0.346934,    0.005927
   0.386999,    0.006043
   0.425852,    0.006178
   0.463496,    0.006321
   0.499927,    0.006482
   0.535174,    0.006653
   0.568939,    0.006841
   0.600050,    0.007045
   0.627587,    0.007295
   0.651060,    0.007645
   0.670387,    0.008148
   0.685834,    0.008829
   0.697977,    0.009765
   0.707124,    0.010935
   0.711125,    0.012217
