CLh_e, CDh_e
  -0.447842,    0.006420
  -0.394840,    0.006266
  -0.342656,    0.006130
  -0.291345,    0.006004
  -0.240951,    0.005898
  -0.191458,    0.005799
  -0.142793,    0.005720
  -0.095028,    0.005653
  -0.048206,    0.005614
  -0.000350,    0.005585
   0.044932,    0.005572
   0.089289,    0.005572
   0.132714,    0.005585
   0.175171,    0.005613
   0.216647,    0.005651
   0.257128,    0.005712
   0.296639,    0.005785
   0.335208,    0.005875
   0.372793,    0.005970
   0.409360,    0.006082
   0.444924,    0.006199
   0.479496,    0.006332
   0.513107,    0.006472
   0.545737,    0.006631
   0.577170,    0.006800
   0.606515,    0.006987
   0.633025,    0.007191
   0.656263,    0.007439
   0.676029,    0.007812
   0.692340,    0.008312
   0.705494,    0.008976
   0.715990,    0.009856
   0.723778,    0.010892
   0.727137,    0.012029
