CLh_e, CDh_e
  -0.494202,    0.006420
  -0.453190,    0.006266
  -0.412974,    0.006130
  -0.373607,    0.006004
  -0.335126,    0.005898
  -0.297511,    0.005799
  -0.260685,    0.005720
  -0.224715,    0.005660
  -0.189640,    0.005654
  -0.153524,    0.005656
  -0.119887,    0.005681
  -0.087117,    0.005720
  -0.055213,    0.005773
  -0.024211,    0.005842
   0.005882,    0.005923
   0.035055,    0.006029
   0.063336,    0.006169
   0.090754,    0.006354
   0.117272,    0.006548
   0.142861,    0.006761
   0.167537,    0.006983
   0.191313,    0.007223
   0.214223,    0.007474
   0.236247,    0.007801
   0.257266,    0.008162
   0.276829,    0.008561
   0.294630,    0.009010
   0.310549,    0.009559
   0.324599,    0.010433
   0.336900,    0.011845
   0.347738,    0.018159
