CLh_e, CDh_e
  -0.495178,    0.006429
  -0.450440,    0.006258
  -0.406727,    0.006102
  -0.363992,    0.005969
  -0.322316,    0.005848
  -0.281696,    0.005759
  -0.242111,    0.005684
  -0.203520,    0.005669
  -0.164122,    0.005667
  -0.127295,    0.005692
  -0.091543,    0.005734
  -0.056866,    0.005796
  -0.023305,    0.005877
   0.009167,    0.005974
   0.040593,    0.006104
   0.070954,    0.006290
   0.100210,    0.006503
   0.128376,    0.006731
   0.155436,    0.006983
   0.181398,    0.007246
   0.206261,    0.007544
   0.230055,    0.007920
   0.252636,    0.008324
   0.273426,    0.008772
   0.292043,    0.009294
   0.308368,    0.010090
   0.322530,    0.011255
   0.334844,    0.017911
   0.345778,    0.018559
