eta, basic load
   0.000000, 11368.763053
   0.020408, 11263.184815
   0.040816, 11226.551177
   0.061224, 11172.632137
   0.081633, 11104.054488
   0.102041, 11022.552296
   0.122449, 10929.387510
   0.142857, 10825.517658
   0.163265, 10711.679964
   0.183673, 10588.437194
   0.204082, 10456.201745
   0.224490, 10315.244538
   0.244898, 10165.690199
   0.265306, 10007.496020
   0.285714, 9837.074797
   0.306122, 9655.705742
   0.326531, 9473.274660
   0.346939, 9274.418274
   0.367347, 9068.595271
   0.387755, 8857.158880
   0.408163, 8641.146656
   0.428571, 8421.409214
   0.448980, 8198.663583
   0.469388, 7973.522570
   0.489796, 7746.513680
   0.510204, 7518.049036
   0.530612, 7288.526500
   0.551020, 7058.325231
   0.571429, 6827.727333
   0.591837, 6596.965756
   0.612245, 6366.224928
   0.632653, 6135.639581
   0.653061, 5905.291519
   0.673469, 5675.203945
   0.693878, 5445.332653
   0.714286, 5215.553062
   0.734694, 4985.641478
   0.755102, 4755.248123
   0.775510, 4523.858025
   0.795918, 4290.733485
   0.816327, 4054.827686
   0.836735, 3814.651361
   0.857143, 3568.059777
   0.877551, 3311.897070
   0.897959, 3041.367322
   0.918367, 2748.832563
   0.938776, 2421.243975
   0.959184, 2033.591845
   0.979592, 1525.744427
   1.000000,    0.000000
