Time, Aircraft mass
   0.000000, 53610.000000
   0.431628, 53584.632959
  26.006811, 52603.432896
 256.925214, 47748.794249
 275.925214, 47290.690909
 281.489988, 47023.419394
 297.657097, 46480.979587
 306.657097, 46353.089505
 336.657097, 45767.876961
 337.623764, 45753.302782
 337.857980, 45753.302782
