eta, Total_load
   0.000000, 13140.759189
   0.020408, 13018.613968
   0.040816, 12976.077359
   0.061224, 12913.662981
   0.081633, 12834.495851
   0.102041, 12740.644130
   0.122449, 12633.620578
   0.142857, 12514.583699
   0.163265, 12384.439863
   0.183673, 12243.900643
   0.204082, 12093.515582
   0.224490, 11933.689345
   0.244898, 11764.687436
   0.265306, 11586.633946
   0.285714, 11395.656015
   0.306122, 11193.866346
   0.326531, 10993.314137
   0.346939, 10775.356533
   0.367347, 10550.376833
   0.387755, 10319.637333
   0.408163, 10084.124300
   0.428571, 9844.654940
   0.448980, 9601.921401
   0.469388, 9356.515469
   0.489796, 9108.944893
   0.510204, 8859.599312
   0.530612, 8608.853946
   0.551020, 8357.065507
   0.571429, 8104.487915
   0.591837, 7851.321153
   0.612245, 7597.710598
   0.632653, 7343.744211
   0.653061, 7089.447247
   0.673469, 6834.773880
   0.693878, 6579.594834
   0.714286, 6323.679606
   0.734694, 6066.671142
   0.755102, 5808.049670
   0.775510, 5547.080515
   0.795918, 5282.737541
   0.816327, 5013.588373
   0.836735, 4737.617403
   0.857143, 4451.943184
   0.877551, 4152.346733
   0.897959, 3832.437846
   0.918367, 3482.063041
   0.938776, 3083.908081
   0.959184, 2604.856670
   0.979592, 1965.556839
   1.000000,    0.000000
