CD, CL
   0.028426,   -1.099289
   0.026948,   -1.077710
   0.025551,   -1.056238
   0.024233,   -1.034851
   0.022993,   -1.013553
   0.021832,   -0.992335
   0.020749,   -0.971195
   0.019741,   -0.950131
   0.018806,   -0.929144
   0.017946,   -0.908240
   0.017163,   -0.887409
   0.016450,   -0.866649
   0.015808,   -0.845959
   0.015237,   -0.825338
   0.014739,   -0.804793
   0.014311,   -0.784314
   0.013950,   -0.763900
   0.013657,   -0.743549
   0.013431,   -0.723261
   0.013277,   -0.703040
   0.013188,   -0.682880
   0.013163,   -0.662778
   0.013201,   -0.642733
   0.013307,   -0.622744
   0.013478,   -0.602814
   0.013757,   -0.579595
   0.014307,   -0.546251
   0.015072,   -0.511648
   0.016058,   -0.476099
   0.017306,   -0.438925
