CD, CL
   0.022626,   -0.202404
   0.021148,   -0.180825
   0.019751,   -0.159354
   0.018433,   -0.137966
   0.017193,   -0.116669
   0.016032,   -0.095451
   0.014949,   -0.074310
   0.013941,   -0.053247
   0.013006,   -0.032259
   0.012146,   -0.011356
   0.011363,    0.009476
   0.010650,    0.030235
   0.010008,    0.050925
   0.009437,    0.071547
   0.008939,    0.092092
   0.008511,    0.112570
   0.008150,    0.132984
   0.007857,    0.153335
   0.007631,    0.173623
   0.007477,    0.193845
   0.007388,    0.214005
   0.007363,    0.234106
   0.007401,    0.254151
   0.007507,    0.274140
   0.007678,    0.294071
   0.007957,    0.317290
   0.008507,    0.350634
   0.009272,    0.385236
   0.010258,    0.420786
   0.011506,    0.457959
