Ground Roll Distance, Horizontal Forces
1097.930005, -3315.903870
1123.041432, -3305.139846
1295.202078, -3232.583610
1329.257198, -3218.485389
1363.188072, -3204.521280
1396.995301, -3190.639814
1406.529687, -3186.589626
1425.569015, -3178.520794
1432.294856, -3175.676449
1434.983821, -3174.540175
1436.059188, -3174.085899
1436.517985, -3173.892110
1437.435512, -3173.504605
1437.511818, -3173.472381
1437.549637, -3173.456410
1437.572672, -3173.446682
1437.591167, -3173.438872
1437.604171, -3173.433380
1437.608037, -3173.431748
1437.609132, -13041.629577
1437.610137, -13041.644113
1437.620186, -13041.789475
1437.720683, -13043.243167
1438.725458, -13057.788031
1448.753841, -13204.033527
1547.030358, -14748.724607
1657.658616, -16770.174563
1758.068646, -18931.884975
1847.571022, -21196.004045
1926.661209, -23538.363009
1995.994799, -25934.072467
2056.273604, -28357.133048
2070.826907, -29000.822190
2079.929396, -29416.771992
2086.583807, -29727.729552
2089.807712, -29879.595447
2093.054244, -30027.275611
2124.242829, -31516.411742
2138.687950, -32254.071783
2146.865522, -32686.883954
2149.811330, -32844.790210
2153.326881, -33033.788849
2186.226675, -34923.723535
2194.754263, -35454.979009
2202.486663, -35954.292254
2206.003410, -36187.403844
2207.980235, -36319.560275
2210.004374, -36446.819378
2228.902874, -37696.456656
2254.542919, -39634.584373
2259.336082, -40043.805790
2263.695454, -40435.124725
2267.899694, -40834.108983
2268.789006, -40921.765226
2269.095565, -40952.998830
2269.436009, -40991.169542
2272.671891, -41367.342303
2283.986943, -43037.075232
2285.605774, -43397.605782
2286.520786, -43654.673453
2287.111806, -43871.142740
2287.473331, -44059.988003
2287.655064, -44226.042350
2287.676508, -44263.502124
2287.695920, -44337.185052
2287.696125, -44343.370580
2287.696143, -44345.887417
