Cl, Efficiency
  -0.797949,   -7.933727
  -0.702572,   -7.990306
  -0.607301,   -7.956211
  -0.512120,   -7.750905
  -0.417043,   -7.317748
  -0.322077,   -6.576155
  -0.227219,   -5.393168
  -0.132452,   -3.605930
  -0.037791,   -1.160513
   0.057131,    1.934386
   0.151643,    5.458904
   0.246060,    8.952721
   0.340370,   11.955001
   0.434569,   14.164844
   0.528665,   15.438460
   0.622664,   15.851392
   0.716554,   15.714347
   0.810336,   15.224031
   0.904017,   14.512442
   0.997599,   13.697892
   1.091073,   12.884152
   1.184440,   12.097027
   1.277709,   11.341233
   1.370770,   10.634166
   1.457437,    9.948880
   1.525658,    9.209988
   1.569491,    8.395724
   1.590079,    7.587862
   1.595624,    6.831300
