Cl, Efficiency
  -0.834340,   -8.295261
  -0.734481,   -8.352873
  -0.634756,   -8.315522
  -0.535148,   -8.098996
  -0.435671,   -7.644128
  -0.336334,   -6.866755
  -0.237134,   -5.628074
  -0.138050,   -3.758364
  -0.039102,   -1.200886
   0.060096,    2.035241
   0.158840,    5.720159
   0.257464,    9.372460
   0.355951,   12.517837
   0.454298,   14.835601
   0.552513,   16.171431
   0.650606,   16.602938
   0.748560,   16.457353
   0.846376,   15.946556
   0.944065,   15.201555
   1.041629,   14.347198
   1.139055,   13.492965
   1.236345,   12.667851
   1.333512,   11.876906
   1.430439,   11.136055
   1.520674,   10.417505
   1.591665,    9.649499
   1.637257,    8.825981
   1.658685,    7.990518
   1.664543,    7.203427
   1.670729,    6.530063
   1.699688,    6.216826
   1.781700,    6.305665
   1.954918,    6.731282
   2.264071,    7.603108
