Cl, Efficiency
  -0.803839,   -7.992008
  -0.707633,   -8.047537
  -0.611556,   -8.011588
  -0.515591,   -7.803008
  -0.419750,   -7.364790
  -0.324044,   -6.615838
  -0.228467,   -5.422388
  -0.133000,   -3.620879
  -0.037660,   -1.156617
   0.057923,    1.961653
   0.153073,    5.512071
   0.248111,    9.026869
   0.343021,   12.050763
   0.437801,   14.276872
   0.532459,   15.559457
   0.627003,   15.971828
   0.721418,   15.827635
   0.815706,   15.334282
   0.909876,   14.617259
   1.003930,   13.796030
   1.097857,   12.972978
   1.191660,   12.178705
   1.285348,   11.418067
   1.378810,   10.706039
   1.465822,   10.014010
   1.534270,    9.274427
   1.578202,    8.482242
   1.598802,    7.661200
   1.604350,    6.892750
