Cl, Efficiency
  -0.847335,   -8.278710
  -0.735719,   -8.335200
  -0.624266,   -8.268634
  -0.512977,   -8.002253
  -0.401853,   -7.426590
  -0.290881,   -6.358877
  -0.180062,   -4.614086
  -0.069407,   -2.051519
   0.041463,    1.374596
   0.151866,    5.419131
   0.262108,    9.525738
   0.372199,   12.931184
   0.482127,   15.208767
   0.591890,   16.339132
   0.701486,   16.556139
   0.810919,   16.158613
   0.920203,   15.373378
   1.029329,   14.442688
   1.138290,   13.490604
   1.247088,   12.573806
   1.355724,   11.714530
   1.463895,   10.913191
   1.560013,   10.100644
   1.625633,    9.208468
   1.656120,    8.262164
   1.661880,    7.348241
   1.668251,    6.576959
   1.714505,    6.290569
   1.855464,    6.574115
