Cl, Efficiency
  -0.854711,   -8.495991
  -0.752413,   -8.555313
  -0.650251,   -8.517445
  -0.548210,   -8.296156
  -0.446304,   -7.830688
  -0.344542,   -7.034335
  -0.242922,   -5.765445
  -0.141423,   -3.850186
  -0.040064,   -1.230452
   0.061547,    2.084389
   0.162692,    5.858864
   0.263710,    9.599854
   0.364587,   12.821521
   0.465316,   15.195399
   0.565907,   16.564340
   0.666370,   17.007828
   0.766688,   16.859713
   0.866860,   16.337037
   0.966899,   15.574083
   1.066807,   14.698859
   1.166569,   13.823626
   1.266189,   12.978148
   1.365679,   12.167636
   1.464920,   11.408438
   1.557308,   10.672175
   1.629998,    9.885489
   1.676698,    9.042587
   1.698680,    8.187783
   1.704744,    7.382464
   1.711161,    6.693271
   1.740820,    6.373332
   1.824665,    6.464863
   2.001744,    6.901387
   2.317757,    7.793981
