Cl, Efficiency
  -0.867675,   -8.475905
  -0.753378,   -8.534102
  -0.639248,   -8.466400
  -0.525286,   -8.194211
  -0.411494,   -7.604773
  -0.297860,   -6.511444
  -0.184385,   -4.724847
  -0.071079,   -2.100936
   0.042444,    1.407124
   0.155486,    5.548312
   0.268360,    9.752959
   0.381076,   13.239607
   0.493623,   15.571386
   0.605996,   16.729665
   0.718194,   16.953358
   0.830222,   16.547226
   0.942093,   15.743577
   1.053798,   14.790644
   1.165332,   13.815605
   1.276693,   12.876597
   1.387885,   11.996444
   1.498597,   11.175612
   1.596973,   10.343464
   1.664148,    9.430078
   1.695390,    8.462332
   1.701356,    7.527617
   1.707966,    6.738300
   1.755302,    6.445973
   1.899380,    6.736464
