Cl, Efficiency
  -0.816401,   -7.976478
  -0.708862,   -8.030931
  -0.601481,   -7.966835
  -0.494257,   -7.710224
  -0.387190,   -7.155608
  -0.280267,   -6.126850
  -0.173489,   -4.445639
  -0.066865,   -1.976365
   0.039971,    1.325126
   0.146361,    5.222671
   0.252599,    9.175197
   0.358698,   12.449146
   0.464645,   14.636418
   0.570438,   15.721771
   0.676077,   15.926274
   0.781564,   15.540517
   0.886913,   14.784129
   0.992115,   13.889173
   1.097165,   12.972453
   1.202064,   12.089728
   1.306814,   11.263240
   1.411120,   10.492989
   1.503803,    9.710172
   1.567059,    8.851186
   1.596398,    7.937355
   1.601846,    7.032540
   1.607850,    6.298132
