Cl, Efficiency
  -0.816510,   -7.977544
  -0.708957,   -8.032004
  -0.601561,   -7.967900
  -0.494323,   -7.711254
  -0.387242,   -7.156563
  -0.280304,   -6.127668
  -0.173512,   -4.446233
  -0.066874,   -1.976630
   0.039976,    1.325301
   0.146380,    5.223364
   0.252633,    9.176445
   0.358745,   12.450854
   0.464707,   14.638437
   0.570514,   15.723945
   0.676166,   15.928570
   0.781667,   15.542752
   0.887030,   14.786245
   0.992246,   13.891150
   1.097310,   12.974365
   1.202223,   12.091496
   1.306986,   11.264874
   1.411307,   10.494501
   1.504001,    9.711632
   1.567265,    8.852502
   1.596608,    7.938893
   1.602057,    7.034028
   1.608063,    6.298966
