alpha body, Efficiency
  -4.000000,  -10.135822
  -3.517241,   -9.308045
  -3.034483,   -8.160654
  -2.551724,   -6.671496
  -2.068966,   -4.837643
  -1.586207,   -2.710721
  -1.103448,   -0.381673
  -0.620690,    2.015712
  -0.137931,    4.333512
   0.344828,    6.439929
   0.827586,    8.234599
   1.310345,    9.674357
   1.793103,   10.751504
   2.275862,   11.564281
   2.758621,   12.020467
   3.241379,   12.246690
   3.724138,   12.294794
   4.206897,   12.209380
   4.689655,   12.031107
   5.172414,   11.783526
   5.655172,   11.495232
   6.137931,   11.180257
   6.620690,   10.852524
   7.103448,   10.519439
   7.586207,   10.187916
   8.068966,    9.860575
   8.551724,    9.535045
   9.034483,    9.218097
   9.517241,    8.909263
  10.000000,    8.600402
