alpha body, Efficiency
  -4.000000,  -11.136730
  -3.517241,  -10.227689
  -3.034483,   -8.967480
  -2.551724,   -7.331730
  -2.068966,   -5.317199
  -1.586207,   -2.980569
  -1.103448,   -0.421739
  -0.620690,    2.212318
  -0.137931,    4.759074
   0.344828,    7.073709
   0.827586,    9.045918
   1.310345,   10.628244
   1.793103,   11.812195
   2.275862,   12.705675
   2.758621,   13.207357
   3.241379,   13.456347
   3.724138,   13.509602
   4.206897,   13.416123
   4.689655,   13.220584
   5.172414,   12.950997
   5.655172,   12.636123
   6.137931,   12.291467
   6.620690,   11.932419
   7.103448,   11.567192
   7.586207,   11.203451
   8.068966,   10.844364
   8.551724,   10.487716
   9.034483,   10.140276
   9.517241,    9.802853
  10.000000,    9.465196
