alpha body, Epsilon
  -4.000000,   -0.139834
  -3.172414,    0.136580
  -2.344828,    0.412994
  -1.517241,    0.689408
  -0.689655,    0.965822
   0.137931,    1.242236
   0.965517,    1.518650
   1.793103,    1.795064
   2.620690,    2.071478
   3.448276,    2.347892
   4.275862,    2.624305
   5.103448,    2.900719
   5.931034,    3.177133
   6.758621,    3.453547
   7.586207,    3.729961
   8.413793,    4.006375
   9.241379,    4.282789
  10.068966,    4.559203
  10.896552,    4.835617
  11.724138,    5.112031
  12.551724,    5.388445
  13.379310,    5.664859
  14.206897,    5.941272
  15.034483,    6.217686
  15.862069,    6.494100
