alpha body, Epsilon
  -4.000000,   -0.106620
  -3.172414,    0.137882
  -2.344828,    0.418982
  -1.517241,    0.702999
  -0.689655,    0.989837
   0.137931,    1.279403
   0.965517,    1.571602
   1.793103,    1.866341
   2.620690,    2.163526
   3.448276,    2.463063
   4.275862,    2.764859
   5.103448,    3.059535
   5.931034,    3.336215
   6.758621,    3.609768
   7.586207,    3.880070
   8.413793,    4.143156
   9.241379,    4.366974
  10.068966,    4.509222
  10.896552,    4.546865
  11.724138,    4.478859
  12.551724,    4.325726
  13.379310,    4.128424
  14.206897,    3.946779
  15.034483,    3.858048
  15.862069,    3.956576
