alpha body, Epsilon
  -4.000000,   -0.137103
  -3.172414,    0.133913
  -2.344828,    0.404930
  -1.517241,    0.675947
  -0.689655,    0.946964
   0.137931,    1.217981
   0.965517,    1.488998
   1.793103,    1.760015
   2.620690,    2.031032
   3.448276,    2.302048
   4.275862,    2.573065
   5.103448,    2.844082
   5.931034,    3.115099
   6.758621,    3.386116
   7.586207,    3.657133
   8.413793,    3.928150
   9.241379,    4.199166
  10.068966,    4.470183
  10.896552,    4.741200
  11.724138,    5.012217
  12.551724,    5.283234
  13.379310,    5.554251
  14.206897,    5.825268
  15.034483,    6.096285
  15.862069,    6.367301
  16.689655,    6.638318
  17.517241,    6.909335
  18.344828,    7.180352
  19.172414,    7.451369
  20.000000,    7.722386
