eta, cCl
   0.000000,    0.483937
   0.020408,    0.482487
   0.040816,    0.483134
   0.061224,    0.483862
   0.081633,    0.484562
   0.102041,    0.485175
   0.122449,    0.485659
   0.142857,    0.485991
   0.163265,    0.486152
   0.183673,    0.486129
   0.204082,    0.485912
   0.224490,    0.485494
   0.244898,    0.484867
   0.265306,    0.484027
   0.285714,    0.482967
   0.306122,    0.481682
   0.326531,    0.480166
   0.346939,    0.478414
   0.367347,    0.476418
   0.387755,    0.474170
   0.408163,    0.471663
   0.428571,    0.468886
   0.448980,    0.465829
   0.469388,    0.462479
   0.489796,    0.458822
   0.510204,    0.454838
   0.530612,    0.450510
   0.551020,    0.445819
   0.571429,    0.440741
   0.591837,    0.435249
   0.612245,    0.429313
   0.632653,    0.422898
   0.653061,    0.415964
   0.673469,    0.408463
   0.693878,    0.400343
   0.714286,    0.391541
   0.734694,    0.381987
   0.755102,    0.371594
   0.775510,    0.360262
   0.795918,    0.347870
   0.816327,    0.334273
   0.836735,    0.319286
   0.857143,    0.302676
   0.877551,    0.284131
   0.897959,    0.263218
   0.918367,    0.239290
   0.938776,    0.211297
   0.959184,    0.177268
   0.979592,    0.132428
   1.000000,    0.000000
