eta, cCl
   0.000000,    2.419683
   0.020408,    2.412435
   0.040816,    2.415668
   0.061224,    2.419308
   0.081633,    2.422812
   0.102041,    2.425873
   0.122449,    2.428297
   0.142857,    2.429957
   0.163265,    2.430761
   0.183673,    2.430645
   0.204082,    2.429561
   0.224490,    2.427468
   0.244898,    2.424335
   0.265306,    2.420133
   0.285714,    2.414833
   0.306122,    2.408408
   0.326531,    2.400831
   0.346939,    2.392068
   0.367347,    2.382088
   0.387755,    2.370851
   0.408163,    2.358315
   0.428571,    2.344431
   0.448980,    2.329145
   0.469388,    2.312394
   0.489796,    2.294109
   0.510204,    2.274192
   0.530612,    2.252550
   0.551020,    2.229093
   0.571429,    2.203703
   0.591837,    2.176246
   0.612245,    2.146567
   0.632653,    2.114492
   0.653061,    2.079818
   0.673469,    2.042314
   0.693878,    2.001714
   0.714286,    1.957707
   0.734694,    1.909933
   0.755102,    1.857968
   0.775510,    1.801308
   0.795918,    1.739352
   0.816327,    1.671365
   0.836735,    1.596432
   0.857143,    1.513381
   0.877551,    1.420657
   0.897959,    1.316089
   0.918367,    1.196452
   0.938776,    1.056487
   0.959184,    0.886340
   0.979592,    0.662138
   1.000000,    0.000000
