eta, basic load
   0.000000, 24861.420669
   0.020408, 22905.093600
   0.040816, 21265.065948
   0.061224, 19585.907394
   0.081633, 17871.401724
   0.102041, 16127.068063
   0.122449, 14359.099245
   0.142857, 12573.864354
   0.163265, 10777.645973
   0.183673, 8976.503104
   0.204082, 7176.207159
   0.224490, 5382.221328
   0.244898, 3599.706027
   0.265306, 1833.543036
   0.285714,   85.739702
   0.306122, -1700.931869
   0.326531, -3598.313009
   0.346939, -5462.322812
   0.367347, -7284.193644
   0.387755, -9060.422179
   0.408163, -10787.768409
   0.428571, -12463.211918
   0.448980, -14083.916026
   0.469388, -15647.193926
   0.489796, -17150.475035
   0.510204, -18591.238032
   0.530612, -19967.012498
   0.551020, -21275.378723
   0.571429, -22513.850723
   0.591837, -23679.848006
   0.612245, -24770.632974
   0.632653, -25783.234348
   0.653061, -26714.351388
   0.673469, -27560.231609
   0.693878, -28316.511673
   0.714286, -28978.006564
   0.734694, -29538.425129
   0.755102, -29989.979038
   0.775510, -30322.834451
   0.795918, -30524.326116
   0.816327, -30577.802816
   0.836735, -30460.881700
   0.857143, -30142.716323
   0.877551, -29579.534470
   0.897959, -28706.936776
   0.918367, -27425.569130
   0.938776, -25571.379774
   0.959184, -22841.915234
   0.979592, -18541.608854
   1.000000,    0.000000
