eta, basic load
   0.000000, -10144.945509
   0.020408, -10204.353983
   0.040816, -10180.927789
   0.061224, -10177.361282
   0.081633, -10192.396868
   0.102041, -10224.285498
   0.122449, -10271.089493
   0.142857, -10330.823198
   0.163265, -10401.526020
   0.183673, -10481.299134
   0.204082, -10568.320933
   0.224490, -10660.849941
   0.244898, -10757.220854
   0.265306, -10855.838825
   0.285714, -10955.940089
   0.306122, -11090.912803
   0.326531, -11302.349633
   0.346939, -11506.594248
   0.367347, -11699.792210
   0.387755, -11880.152631
   0.408163, -12046.224991
   0.428571, -12196.799788
   0.448980, -12330.855254
   0.469388, -12447.522110
   0.489796, -12546.057273
   0.510204, -12625.809181
   0.530612, -12686.217933
   0.551020, -12726.812760
   0.571429, -12747.165883
   0.591837, -12746.886996
   0.612245, -12725.606153
   0.632653, -12682.954677
   0.653061, -12618.542927
   0.673469, -12531.933359
   0.693878, -12422.606796
   0.714286, -12289.918871
   0.734694, -12133.042273
   0.755102, -11950.888227
   0.775510, -11741.997094
   0.795918, -11504.382077
   0.816327, -11235.299853
   0.836735, -10930.903578
   0.857143, -10585.698925
   0.877551, -10191.653345
   0.897959, -9736.653672
   0.918367, -9201.625301
   0.938776, -8554.523806
   0.959184, -7735.363963
   0.979592, -6604.153233
   1.000000,    0.000000
