eta, basic load
   0.000000, -3143.672273
   0.020408, -3582.464467
   0.040816, -3891.729042
   0.061224, -4224.707547
   0.081633, -4579.637150
   0.102041, -4954.014786
   0.122449, -5345.051746
   0.142857, -5749.885688
   0.163265, -6165.691622
   0.183673, -6589.738686
   0.204082, -7019.415315
   0.224490, -7452.235687
   0.244898, -7885.835477
   0.265306, -8317.962453
   0.285714, -8747.604131
   0.306122, -9212.916616
   0.326531, -9761.542308
   0.346939, -10297.739961
   0.367347, -10816.672497
   0.387755, -11316.206540
   0.408163, -11794.533675
   0.428571, -12250.082214
   0.448980, -12681.467409
   0.469388, -13087.456473
   0.489796, -13466.940826
   0.510204, -13818.894951
   0.530612, -14142.376846
   0.551020, -14436.525953
   0.571429, -14700.502851
   0.591837, -14933.479198
   0.612245, -15134.611517
   0.632653, -15303.010612
   0.653061, -15437.704619
   0.673469, -15537.593009
   0.693878, -15601.387772
   0.714286, -15627.536410
   0.734694, -15614.118844
   0.755102, -15558.706389
   0.775510, -15458.164566
   0.795918, -15308.370885
   0.816327, -15103.800446
   0.836735, -14836.899203
   0.857143, -14497.102405
   0.877551, -14069.229570
   0.897959, -13530.710292
   0.918367, -12846.414067
   0.938776, -11957.895000
   0.959184, -10756.674217
   0.979592, -8991.644357
   1.000000,    0.000000
