Ground Distance, Emission CO
   0.000000,    0.041687
   0.016710,   41.688065
   0.183425,   83.380369
   0.368636,  125.073193
   0.553847,  166.766017
   0.739059,  208.458841
   0.924270,  250.151665
   1.109481,  291.844489
   1.294692,  333.537313
   1.479903,  375.230137
   1.665114,  416.922961
   1.850325,  458.615785
   2.302802,  500.311077
   2.788649,  542.006678
   3.274497,  583.702278
   3.760344,  625.397879
   4.246191,  667.093479
   4.732039,  708.789080
   5.217886,  750.484681
   5.703734,  792.180281
   6.189581,  833.875882
   6.675428,  875.571482
   7.425528,  917.262441
   8.208622,  958.952819
   8.991715, 1000.643198
   9.774809, 1042.333577
  10.557903, 1084.023956
  11.340997, 1125.714335
  12.124090, 1167.404714
  12.907184, 1209.095093
  13.690278, 1250.785471
  14.473372, 1292.475850
  15.517622, 1334.154722
  16.594479, 1375.832158
  17.671337, 1417.509593
  18.748195, 1459.187029
  19.825052, 1500.864464
  20.901910, 1542.541899
  21.978768, 1584.219335
  23.055626, 1625.896770
  24.132483, 1667.574205
  25.209341, 1709.251641
  26.544182, 1750.910956
  27.911234, 1792.568008
  29.278286, 1834.225060
  30.645338, 1875.882113
  32.012390, 1917.539165
  33.379442, 1959.196218
  34.746494, 2000.853270
  36.113546, 2042.510322
  37.480599, 2084.167375
  38.847651, 2125.824427
  40.469440, 2167.459961
  42.123036, 2209.092807
  43.776632, 2250.725654
  45.430228, 2292.358501
  47.083824, 2333.991347
  48.737419, 2375.624194
  50.391015, 2417.257041
  52.044611, 2458.889887
  53.698207, 2500.522734
  55.351803, 2542.155581
  57.256362, 2583.823150
  59.192256, 2625.495054
  61.128151, 2667.166958
  63.064045, 2708.838863
  64.999939, 2750.510767
  66.935834, 2792.182671
  68.871728, 2833.854576
  70.807622, 2875.526480
  72.743516, 2917.198384
  74.679411, 2958.870289
  76.861703, 3000.578051
  79.074761, 3042.290291
  81.287818, 3084.002531
  83.500876, 3125.714770
  85.713933, 3167.427010
  87.926991, 3209.139250
  90.140048, 3250.851489
  92.353106, 3292.563729
  94.566163, 3334.275969
  96.779221, 3375.988208
  99.234050, 3417.720050
 101.719067, 3459.454340
 104.204085, 3501.188629
 106.689102, 3542.922919
 109.174119, 3584.657209
 111.659136, 3626.391498
 114.144153, 3668.125788
 116.629171, 3709.860077
 119.114188, 3751.594367
 121.599205, 3793.328656
 124.321358, 3835.067178
 127.073121, 3876.806229
 129.824883, 3918.545279
 132.576645, 3960.284330
 135.328408, 4002.023381
 138.080170, 4043.762431
 140.831932, 4085.501482
 143.583695, 4127.240532
 146.335457, 4168.979583
 149.087219, 4210.718634
 152.071478, 4252.447418
 155.084766, 4294.174921
 158.098055, 4335.902424
 161.111343, 4377.629926
 164.124631, 4419.357429
 167.137919, 4461.084932
 170.151207, 4502.812435
 173.164496, 4544.539937
 176.177784, 4586.267440
 179.191072, 4627.994943
 182.432219, 4669.698535
 185.701815, 4711.399142
 188.971412, 4753.099749
 192.241008, 4794.800356
 195.510605, 4836.500963
 198.780201, 4878.201570
 202.049798, 4919.902177
 205.319395, 4961.602784
 208.588991, 5003.303391
 211.858588, 5045.003998
 215.351186, 5086.731520
 218.871628, 5128.462402
 222.392070, 5170.193284
 225.912512, 5211.924166
 229.432954, 5253.655048
 232.953396, 5295.385930
 236.473838, 5337.116812
 239.994280, 5378.847694
 243.514722, 5420.578576
 247.035164, 5462.309458
 250.772826, 5504.111209
 254.537610, 5545.921808
 258.302394, 5587.732407
 262.067178, 5629.543006
 265.831961, 5671.353605
 269.596745, 5713.164204
 273.361529, 5754.974803
 277.126313, 5796.785402
 280.891097, 5838.596001
 284.655881, 5880.406601
 288.631919, 5922.256745
 292.634333, 5964.111827
 296.636748, 6005.966909
 300.639163, 6047.821990
 304.641578, 6089.677072
 308.643992, 6131.532154
 312.646407, 6173.387236
 316.648822, 6215.242318
 320.651237, 6257.097400
 324.653651, 6298.952481
 328.861444, 6340.817939
 333.094881, 6382.684692
 337.328317, 6424.551444
 341.561754, 6466.418197
 345.795190, 6508.284950
 350.028627, 6550.151703
 354.262063, 6592.018456
 358.495499, 6633.885209
 362.728936, 6675.751962
 366.962372, 6717.618715
 371.395406, 6759.469035
 375.853361, 6801.317303
 380.311315, 6843.165571
 384.769270, 6885.013839
 389.227225, 6926.862107
 393.685180, 6968.710375
 398.143135, 7010.558644
 402.601090, 7052.406912
 407.059045, 7094.255180
 411.517000, 7136.103448
 416.168868, 7177.910719
 420.844948, 7219.712872
 425.521028, 7261.515024
 430.197108, 7303.317176
 434.873188, 7345.119328
 439.549268, 7386.921481
 444.225348, 7428.723633
 448.901428, 7470.525785
 453.577508, 7512.327938
 458.253588, 7554.130090
 463.117997, 7595.868811
 468.005921, 7637.599611
 472.893845, 7679.330412
 477.781769, 7721.061212
 482.669693, 7762.792013
 487.557617, 7804.522814
 492.445541, 7846.253614
 497.333465, 7887.984415
 502.221389, 7929.715215
 507.109313, 7971.446016
 512.180087, 8013.114477
 517.273692, 8054.775154
 522.367297, 8096.435830
 527.460902, 8138.096507
 532.554506, 8179.757184
 537.648111, 8221.417861
 542.741716, 8263.078538
 547.835321, 8304.739215
 552.928925, 8346.399892
 558.022530, 8388.060568
 563.293639, 8429.779724
 568.586911, 8471.506180
 573.880184, 8513.232637
 579.173456, 8554.959094
 584.466728, 8596.685551
 589.760000, 8638.412007
 595.053272, 8680.138464
 600.346545, 8721.864921
 605.639817, 8763.591378
 610.933089, 8805.317835
 616.398659, 8847.106814
 621.885743, 8888.903600
 627.372827, 8930.700386
 632.859910, 8972.497172
 638.346994, 9014.293958
 643.834078, 9056.090745
 649.321161, 9097.887531
 654.808245, 9139.684317
 660.295328, 9181.481103
 665.782412, 9223.277889
 671.431279, 9265.110483
 677.100346, 9306.947548
 682.769414, 9348.784613
 688.438481, 9390.621678
 694.107548, 9432.458744
 699.776615, 9474.295809
 705.445682, 9516.132874
 711.114750, 9557.969939
 716.783817, 9599.807004
 719.337716, 9618.654487
 725.131192, 9660.504361
 730.987301, 9702.356441
 736.843409, 9744.208521
 742.699518, 9786.060601
 748.555627, 9827.912681
 754.411735, 9869.764761
 760.267844, 9911.616841
 766.123952, 9953.468921
 771.980061, 9995.321001
 777.836170, 10037.173081
 783.750336, 10079.022004
 789.777456, 10120.864783
 795.804575, 10162.707563
 801.831695, 10204.550343
 807.858815, 10246.393123
 813.885934, 10288.235903
 819.913054, 10330.078683
 825.940173, 10371.921462
 831.967293, 10413.764242
 837.994413, 10455.607022
 844.075505, 10497.440128
 850.261604, 10539.254412
 856.447703, 10581.068696
 862.633801, 10622.882980
 868.819900, 10664.697264
 875.005999, 10706.511548
 881.192097, 10748.325832
 887.378196, 10790.140116
 893.564295, 10831.954400
 899.750393, 10873.768684
 903.836329, 10901.387133
 910.146858, 10943.165453
 916.457386, 10984.943773
 922.767915, 11026.722093
 929.078444, 11068.500413
 935.388973, 11110.278733
 941.699502, 11152.057054
 948.010031, 11193.835374
 954.320560, 11235.613694
 960.631089, 11277.392014
 966.941618, 11319.170334
 973.292781, 11360.931906
 979.643945, 11402.693477
 985.995108, 11444.455048
 992.346272, 11486.216620
 998.697435, 11527.978191
1005.055072, 11569.734014
1011.412710, 11611.489836
1017.770347, 11653.245659
1024.127984, 11695.001482
1030.485621, 11736.757305
1036.836308, 11778.511392
1043.186996, 11820.265479
1049.537683, 11862.019567
1055.888370, 11903.773654
