alpha_b, CD
  -4.000000,    0.000891
  -3.172414,    0.000863
  -2.344828,    0.000840
  -1.517241,    0.000820
  -0.689655,    0.000805
   0.137931,    0.000795
   0.965517,    0.000788
   1.793103,    0.000786
   2.620690,    0.000787
   3.448276,    0.000793
   4.275862,    0.000804
   5.103448,    0.000819
   5.931034,    0.000839
   6.758621,    0.000864
   7.586207,    0.000894
   8.413793,    0.000929
   9.241379,    0.000972
  10.068966,    0.001027
  10.896552,    0.001097
  11.724138,    0.001191
  12.551724,    0.001314
  13.379310,    0.001467
  14.206897,    0.001610
  15.034483,    0.001763
  15.862069,    0.001930
  16.689655,    0.002112
  17.517241,    0.002309
  18.344828,    0.002520
  19.172414,    0.002747
  20.000000,    0.002990
