Ground Distance, Emission CO2
   0.000000,    0.486173
   0.015488,  486.229424
   0.169973,  972.943809
   0.341596, 1459.717953
   0.513220, 1946.492096
   0.684843, 2433.266240
   0.856466, 2920.040383
   1.028089, 3406.814527
   1.199713, 3893.588671
   1.371336, 4380.362814
   1.542959, 4867.136958
   1.714582, 5353.911101
   2.133732, 5841.469184
   2.583788, 6329.125149
   3.033843, 6816.781113
   3.483899, 7304.437078
   3.933955, 7792.093043
   4.384010, 8279.749008
   4.834066, 8767.404972
   5.284122, 9255.060937
   5.734177, 9742.716902
   6.184233, 10230.372867
   6.878893, 10718.692552
   7.604095, 11207.095110
   8.329296, 11695.497667
   9.054498, 12183.900225
   9.779699, 12672.302782
  10.504901, 13160.705340
  11.230102, 13649.107897
  11.955303, 14137.510455
  12.680505, 14625.913012
  13.405706, 15114.315570
  14.372573, 15603.265493
  15.369614, 16092.283760
  16.366654, 16581.302026
  17.363695, 17070.320293
  18.360736, 17559.338560
  19.357777, 18048.356826
  20.354817, 18537.375093
  21.351858, 19026.393360
  22.348899, 19515.411627
  23.345940, 20004.429893
  24.581690, 20493.883024
  25.847246, 20983.390451
  27.112802, 21472.897878
  28.378359, 21962.405305
  29.643915, 22451.912732
  30.909471, 22941.420159
  32.175027, 23430.927587
  33.440583, 23920.435014
  34.706139, 24409.942441
  35.971695, 24899.449868
  37.472993, 25389.283495
  39.003725, 25879.157852
  40.534457, 26369.032208
  42.065189, 26858.906564
  43.595922, 27348.780921
  45.126654, 27838.655277
  46.657386, 28328.529634
  48.188119, 28818.403990
  49.718851, 29308.278346
  51.249583, 29798.152703
  53.013077, 30288.248414
  54.805634, 30778.371763
  56.598190, 31268.495113
  58.390747, 31758.618462
  60.183303, 32248.741811
  61.975860, 32738.865161
  63.768416, 33228.988510
  65.560973, 33719.111860
  67.353529, 34209.235209
  69.146086, 34699.358559
  71.168415, 35189.602210
  73.219433, 35679.860883
  75.270451, 36170.119555
  77.321469, 36660.378228
  79.372487, 37150.636901
  81.423505, 37640.895573
  83.474524, 38131.154246
  85.525542, 38621.412918
  87.576560, 39111.671591
  89.627578, 39601.930263
  91.905372, 40092.211948
  94.211480, 40582.496507
  96.517589, 41072.781065
  98.823697, 41563.065623
 101.129806, 42053.350181
 103.435915, 42543.634740
 105.742023, 43033.919298
 108.048132, 43524.203856
 110.354240, 44014.488415
 112.660349, 44504.772973
 115.190230, 44994.986981
 117.748052, 45485.192181
 120.305874, 45975.397381
 122.863695, 46465.602581
 125.421517, 46955.807780
 127.979338, 47446.012980
 130.537160, 47936.218180
 133.094982, 48426.423380
 135.652803, 48916.628579
 138.210625, 49406.833779
 140.989213, 49896.878556
 143.795366, 50386.903302
 146.601518, 50876.928048
 149.407671, 51366.952795
 152.213824, 51856.977541
 155.019977, 52347.002287
 157.826130, 52837.027034
 160.632283, 53327.051780
 163.438435, 53817.076526
 166.244588, 54307.101272
 169.268499, 54796.879368
 172.319599, 55286.626666
 175.370699, 55776.373965
 178.421799, 56266.121264
 181.472899, 56755.868562
 184.523999, 57245.615861
 187.575099, 57735.363160
 190.626199, 58225.110459
 193.677300, 58714.857757
 196.728400, 59204.605056
 199.994249, 59694.128353
 203.286912, 60183.623681
 206.579575, 60673.119009
 209.872238, 61162.614338
 213.164901, 61652.109666
 216.457564, 62141.604994
 219.750227, 62631.100323
 223.042890, 63120.595651
 226.335553, 63610.090979
 229.628216, 64099.586307
 233.132706, 64591.883966
 236.663645, 65084.531522
 240.194584, 65577.179077
 243.725523, 66069.826633
 247.256461, 66562.474188
 250.787400, 67055.121744
 254.318339, 67547.769300
 257.849278, 68040.416855
 261.380217, 68533.064411
 264.911156, 69025.711967
 268.651292, 69519.277725
 272.417549, 70012.958130
 276.183806, 70506.638535
 279.950063, 71000.318939
 283.716320, 71493.999344
 287.482577, 71987.679749
 291.248834, 72481.360154
 295.015091, 72975.040558
 298.781348, 73468.720963
 302.547605, 73962.401368
 306.520491, 74456.917807
 310.519178, 74951.538633
 314.517864, 75446.159459
 318.516550, 75940.780285
 322.515236, 76435.401112
 326.513922, 76930.021938
 330.512608, 77424.642764
 334.511294, 77919.263590
 338.509980, 78413.884416
 342.508667, 78908.505242
 346.711408, 79403.882293
 350.939628, 79899.353765
 355.167848, 80394.825237
 359.396068, 80890.296709
 363.624288, 81385.768182
 367.852508, 81881.239654
 372.080728, 82376.711126
 376.308948, 82872.182598
 380.537168, 83367.654070
 384.765388, 83863.125543
 389.195085, 84359.275782
 393.649939, 84855.510773
 398.104793, 85351.745763
 402.559647, 85847.980753
 407.014501, 86344.215743
 411.469354, 86840.450734
 415.924208, 87336.685724
 420.379062, 87832.920714
 424.833916, 88329.155704
 429.288770, 88825.390695
 433.942520, 89322.229342
 438.621105, 89819.143361
 443.299689, 90316.057381
 447.978274, 90812.971400
 452.656858, 91309.885419
 457.335443, 91806.799439
 462.014027, 92303.713458
 466.692612, 92800.627478
 471.371196, 93297.541497
 476.049781, 93794.455517
 480.924679, 94291.900418
 485.824090, 94789.411605
 490.723500, 95286.922792
 495.622911, 95784.433979
 500.522321, 96281.945167
 505.421732, 96779.456354
 510.321142, 97276.967541
 515.220553, 97774.478728
 520.119964, 98271.989915
 525.019374, 98769.501102
 530.112527, 99266.438267
 535.229870, 99763.303759
 540.347213, 100260.169251
 545.464557, 100757.034744
 550.581900, 101253.900236
 555.699243, 101750.765729
 560.816587, 102247.631221
 565.933930, 102744.496713
 571.051273, 103241.362206
 576.168616, 103738.227698
 581.477248, 104234.989720
 586.809764, 104731.738823
 592.142280, 105228.487926
 597.474796, 105725.237029
 602.807312, 106221.986132
 608.139828, 106718.735235
 613.472344, 107215.484338
 618.804860, 107712.233440
 624.137376, 108208.982543
 629.469892, 108705.731646
 634.991339, 109203.256185
 640.536377, 109700.877543
 646.081415, 110198.498902
 651.626453, 110696.120261
 657.171491, 111193.741620
 662.716529, 111691.362978
 668.261567, 112188.984337
 673.806605, 112686.605696
 679.351643, 113184.227055
 684.896680, 113681.848413
 690.628299, 114180.183611
 696.383213, 114678.607938
 702.138128, 115177.032265
 707.893042, 115675.456592
 713.647957, 116173.880919
 719.402872, 116672.305246
 725.157786, 117170.729573
 730.912701, 117669.153900
 736.667615, 118167.578227
 742.422530, 118666.002554
 748.361672, 119165.080973
 754.323817, 119664.241061
 760.285962, 120163.401149
 766.248107, 120662.561236
 772.210251, 121161.721324
 778.172396, 121660.881412
 784.134541, 122160.041500
 790.096686, 122659.201588
 796.058831, 123158.361676
 802.020976, 123657.521764
 808.164996, 124157.278032
 814.331724, 124657.108738
 820.498453, 125156.939445
 826.665182, 125656.770151
 832.831911, 126156.600858
 838.998639, 126656.431564
 845.165368, 127156.262270
 851.332097, 127656.092977
 857.498826, 128155.923683
 863.665554, 128655.754390
 870.011807, 129156.125185
 876.380475, 129656.563415
 882.749143, 130157.001646
 889.117810, 130657.439876
 895.486478, 131157.878107
 901.855146, 131658.316337
 908.223814, 132158.754568
 914.592482, 132659.192798
 920.961149, 133159.631028
 927.329817, 133660.069259
 933.875660, 134160.993290
 940.443624, 134661.977979
 947.011589, 135162.962667
 953.579553, 135663.947355
 960.147518, 136164.932044
 966.715482, 136665.916732
 973.283447, 137166.901420
 979.851412, 137667.886109
 986.419376, 138168.870797
 992.987341, 138669.855486
 999.710439, 139170.313763
1006.452906, 139670.706312
1013.195374, 140171.098862
1019.937842, 140671.491412
1026.680310, 141171.883962
1033.422777, 141672.276511
1040.165245, 142172.669061
1045.827981, 142592.929298
1052.668000, 143081.703057
1059.508018, 143570.476816
1066.434821, 144059.316584
1073.393907, 144548.180908
1080.352994, 145037.045232
1087.312080, 145525.909556
1094.271167, 146014.773880
1101.230253, 146503.638204
1108.189340, 146992.502528
1115.148426, 147481.366852
1122.107513, 147970.231176
1129.066599, 148459.095500
1136.165693, 148948.086183
1143.316869, 149437.123871
1150.468046, 149926.161559
1157.619223, 150415.199247
1164.770399, 150904.236935
1171.921576, 151393.274623
1179.072752, 151882.312311
1186.223929, 152371.349999
1193.375105, 152860.387687
1200.526282, 153349.425375
1207.814836, 153838.606280
1215.154496, 154327.840462
1222.494155, 154817.074645
1229.833814, 155306.308827
1237.173474, 155795.543009
1244.513133, 156284.777191
1251.852792, 156774.011373
1259.192451, 157263.245555
1266.532111, 157752.479738
1273.871770, 158241.713920
1275.861837, 158374.364338
1283.372677, 158865.130001
1290.883517, 159355.895664
1298.394357, 159846.661326
1305.905197, 160337.426989
1313.416036, 160828.192652
1320.926876, 161318.958315
1328.437716, 161809.723978
1335.948556, 162300.489641
1343.459396, 162791.255303
1350.970236, 163282.020966
1358.579988, 163773.584343
1366.189741, 164265.147721
1373.799493, 164756.711098
1381.409246, 165248.274475
1389.018998, 165739.837852
1396.681233, 166231.637093
1404.343469, 166723.436335
1412.005704, 167215.235576
1419.667940, 167707.034817
1427.330175, 168198.834059
1435.047737, 168690.877940
1442.765299, 169182.921822
1450.482861, 169674.965704
1458.200423, 170167.009585
1465.917985, 170659.053467
1473.635547, 171151.097349
1481.353108, 171643.141230
1489.070670, 172135.185112
