Speed (TAS), Climb Angle
  71.256185,    9.283618
  72.598814,    9.312009
  73.941442,    9.286619
  75.284070,    9.241694
  76.626698,    9.190523
  77.969326,    9.127505
  79.311955,    9.061121
  80.654583,    8.987234
  81.997211,    8.913615
  83.339839,    8.831763
  84.682467,    8.750472
  86.025096,    8.664931
  87.367724,    8.578998
  88.710352,    8.491989
  90.052980,    8.399529
  91.395608,    8.310217
  92.738237,    8.219796
  94.080865,    8.123489
  95.423493,    8.030695
  96.766121,    7.939347
  98.108749,    7.840698
  99.451377,    7.740707
 100.794006,    7.645025
 102.136634,    7.549399
 103.479262,    7.445202
 104.821890,    7.341752
 106.164518,    7.239941
 107.507147,    7.138038
 108.849775,    7.036927
 110.192403,    6.930453
 111.535031,    6.823617
 112.877659,    6.716571
 114.220288,    6.612290
 115.562916,    6.509354
 116.905544,    6.403784
 118.248172,    6.290055
 119.590800,    6.179407
 120.933429,    6.068423
 122.276057,    5.957104
 123.618685,    5.847566
 124.961313,    5.738977
 126.303941,    5.629721
 127.646570,    5.511300
 128.989198,    5.394988
 130.331826,    5.278240
 131.674454,    5.161056
 133.017082,    5.044775
 134.359711,    4.928996
 135.702339,    4.812779
 137.044967,    4.696251
 138.387595,    4.580959
 139.730223,    4.458942
 141.072851,    4.333899
 142.415480,    4.209174
 143.758108,    4.084606
 145.100736,    3.959516
 146.443364,    3.833947
 147.785992,    3.709076
 149.128621,    3.583680
 150.471249,    3.457760
 151.813877,    3.331840
 153.156505,    3.205883
 154.499133,    3.079400
 155.841762,    2.952391
 157.184390,    2.817998
 158.527018,    2.682562
 159.869646,    2.546531
 161.212274,    2.410150
 162.554903,    2.273437
 163.897531,    2.136125
 165.240159,    1.998216
 166.582787,    1.859958
 167.925415,    1.721110
 169.268044,    1.581662
 170.610672,    1.441616
 171.953300,    1.300973
 173.295928,    1.159728
 174.638556,    1.017880
 175.981185,    0.875201
 177.323813,    0.731901
 178.666441,    0.587996
 180.009069,    0.443279
 181.351697,    0.297666
 182.694325,    0.146402
 184.036954,   -0.006237
 185.379582,   -0.160198
 186.722210,   -0.314889
 188.064838,   -0.470235
 189.407466,   -0.626616
 190.750095,   -0.784272
 192.092723,   -0.942587
 193.435351,   -1.101561
 194.777979,   -1.262273
 196.120607,   -1.423820
 197.463236,   -1.586031
 198.805864,   -1.749424
 200.148492,   -1.914467
 201.491120,   -2.080179
 202.833748,   -2.246561
 204.176377,   -2.415066
