eta, Cl_add.
   0.000000,    0.044685
   0.020408,    0.045400
   0.040816,    0.046823
   0.061224,    0.048287
   0.081633,    0.049791
   0.102041,    0.051337
   0.122449,    0.052929
   0.142857,    0.054571
   0.163265,    0.056270
   0.183673,    0.058034
   0.204082,    0.059875
   0.224490,    0.061805
   0.244898,    0.063840
   0.265306,    0.066004
   0.285714,    0.068327
   0.306122,    0.070853
   0.326531,    0.073608
   0.346939,    0.076105
   0.367347,    0.076619
   0.387755,    0.076866
   0.408163,    0.077168
   0.428571,    0.077506
   0.448980,    0.077869
   0.469388,    0.078249
   0.489796,    0.078643
   0.510204,    0.079045
   0.530612,    0.079452
   0.551020,    0.079861
   0.571429,    0.080269
   0.591837,    0.080674
   0.612245,    0.081072
   0.632653,    0.081460
   0.653061,    0.081834
   0.673469,    0.082189
   0.693878,    0.082518
   0.714286,    0.082814
   0.734694,    0.083066
   0.755102,    0.083259
   0.775510,    0.083373
   0.795918,    0.083380
   0.816327,    0.083239
   0.836735,    0.082892
   0.857143,    0.082250
   0.877551,    0.081177
   0.897959,    0.079455
   0.918367,    0.076720
   0.938776,    0.072334
   0.959184,    0.065076
   0.979592,    0.052201
   1.000000,    0.000000
