eta, Cl_add.
   0.000000,    0.190263
   0.020408,    0.193306
   0.040816,    0.199367
   0.061224,    0.205601
   0.081633,    0.212005
   0.102041,    0.218587
   0.122449,    0.225363
   0.142857,    0.232354
   0.163265,    0.239589
   0.183673,    0.247103
   0.204082,    0.254940
   0.224490,    0.263156
   0.244898,    0.271823
   0.265306,    0.281036
   0.285714,    0.290926
   0.306122,    0.301684
   0.326531,    0.313413
   0.346939,    0.324043
   0.367347,    0.326234
   0.387755,    0.327284
   0.408163,    0.328569
   0.428571,    0.330008
   0.448980,    0.331554
   0.469388,    0.333175
   0.489796,    0.334850
   0.510204,    0.336561
   0.530612,    0.338294
   0.551020,    0.340035
   0.571429,    0.341774
   0.591837,    0.343496
   0.612245,    0.345191
   0.632653,    0.346844
   0.653061,    0.348436
   0.673469,    0.349948
   0.693878,    0.351351
   0.714286,    0.352612
   0.734694,    0.353684
   0.755102,    0.354505
   0.775510,    0.354990
   0.795918,    0.355018
   0.816327,    0.354419
   0.836735,    0.352941
   0.857143,    0.350208
   0.877551,    0.345639
   0.897959,    0.338306
   0.918367,    0.326663
   0.938776,    0.307988
   0.959184,    0.277086
   0.979592,    0.222266
   1.000000,    0.000000
