OEW (kg), LTO UHC (kg)
12715.785023,    0.006112
12715.635816,    0.006112
12715.947427,    0.006112
12715.851960,    0.006112
12716.390408,    0.006112
12715.883432,    0.006112
12715.749283,    0.006112
12714.903763,    0.006112
12714.856306,    0.006112
12711.954896,    0.006112
12715.906417,    0.006112
12713.884137,    0.006112
12713.871158,    0.006112
12713.830051,    0.006112
12716.434865,    0.006112
12716.249727,    0.006112
12715.033143,    0.006112
12713.976089,    0.006112
12714.459248,    0.006112
12717.071762,    0.006112
12712.548076,    0.006112
12712.557789,    0.006112
12713.909029,    0.006112
12713.854245,    0.006112
12715.300241,    0.006112
12716.532919,    0.006112
12712.637089,    0.006112
12711.376498,    0.006112
12713.753907,    0.006112
12715.205291,    0.006112
12712.979664,    0.006112
12715.280754,    0.006112
12713.803356,    0.006112
12715.167503,    0.006112
12720.578976,    0.006112
12712.477048,    0.006112
12713.272795,    0.006112
12720.442172,    0.006112
12713.370311,    0.006112
12711.386809,    0.006112
12711.392648,    0.006112
12712.502530,    0.006112
12713.222282,    0.006112
12711.246897,    0.006112
12717.740019,    0.006112
12711.459615,    0.006112
12711.902079,    0.006112
12714.291371,    0.006112
12714.055386,    0.006112
12711.312855,    0.006112
12719.696369,    0.006112
12712.027182,    0.006112
12712.599750,    0.006112
12717.593809,    0.006112
12719.909146,    0.006112
12717.481701,    0.006112
12713.467154,    0.006112
12715.156791,    0.006112
12713.559233,    0.006112
12717.116900,    0.006112
12711.148759,    0.006112
12711.412290,    0.006112
12715.678855,    0.006112
12717.312363,    0.006112
12711.794522,    0.006112
12720.888734,    0.006112
12711.159165,    0.006112
12716.993910,    0.006112
12712.604025,    0.006112
12711.217913,    0.006112
12714.517879,    0.006112
12712.005815,    0.006112
12717.093257,    0.006112
12711.465375,    0.006112
12713.117952,    0.006112
12711.518855,    0.006112
12711.405387,    0.006112
12714.165103,    0.006112
12711.820635,    0.006112
12715.667702,    0.006112
12712.162199,    0.006112
12712.768582,    0.006112
12711.432289,    0.006112
12713.121179,    0.006112
12713.933702,    0.006112
12712.830382,    0.006112
12711.222124,    0.006112
12711.134919,    0.006112
12714.725557,    0.006112
12721.660775,    0.006112
12714.201548,    0.006112
12714.325735,    0.006112
12717.371790,    0.006112
12714.215235,    0.006112
12714.704170,    0.006112
12712.712591,    0.006112
12715.619430,    0.006112
12713.063350,    0.006112
12711.121009,    0.006112
12714.307741,    0.006112
12711.441161,    0.006112
12712.494470,    0.006112
12714.534649,    0.006112
12714.088689,    0.006112
12714.379322,    0.006112
12714.126058,    0.006112
12717.576393,    0.006112
12717.949832,    0.006112
12714.414061,    0.006112
12711.663849,    0.006112
12721.245928,    0.006112
12718.078321,    0.006112
12715.669131,    0.006112
12712.210598,    0.006112
12714.078303,    0.006112
12713.543230,    0.006112
12714.468884,    0.006112
12717.846312,    0.006112
12712.242825,    0.006112
12713.421622,    0.006112
12711.508314,    0.006112
12719.309252,    0.006112
12710.709374,    0.006112
12718.674475,    0.006112
12714.358217,    0.006112
12712.879733,    0.006112
12720.280662,    0.006112
12712.674476,    0.006112
12714.047521,    0.006112
12721.092532,    0.006112
12711.560250,    0.006112
12712.519803,    0.006112
12718.704903,    0.006112
12719.603182,    0.006112
12718.466048,    0.006112
12711.115161,    0.006112
12710.616616,    0.006112
12714.166052,    0.006112
12711.718171,    0.006112
12711.728876,    0.006112
12713.611312,    0.006112
12713.867745,    0.006112
12710.717685,    0.006112
12710.691678,    0.006112
12711.089035,    0.006112
12711.094387,    0.006112
