Speed(TAS), Altitude
  62.214464,    0.000000
  62.514155,  100.000000
  62.815963,  200.000000
  63.119908,  300.000000
  63.426010,  400.000000
  63.734289,  500.000000
  64.044766,  600.000000
  64.357462,  700.000000
  64.672396,  800.000000
  64.989592,  900.000000
  65.309070, 1000.000000
  65.630851, 1100.000000
  65.954958, 1200.000000
  66.281413, 1300.000000
  66.610238, 1400.000000
  66.941456, 1500.000000
  67.275090, 1600.000000
  67.611164, 1700.000000
  67.949701, 1800.000000
  68.290724, 1900.000000
  68.634258, 2000.000000
  68.980328, 2100.000000
  69.328958, 2200.000000
  69.680173, 2300.000000
  70.033998, 2400.000000
  70.390459, 2500.000000
  70.749583, 2600.000000
  71.111394, 2700.000000
  71.475921, 2800.000000
  71.843189, 2900.000000
  72.213226, 3000.000000
  72.586060, 3100.000000
  72.961719, 3200.000000
  73.340230, 3300.000000
  73.721623, 3400.000000
  74.105926, 3500.000000
  74.493169, 3600.000000
  74.883381, 3700.000000
  75.276593, 3800.000000
  75.672835, 3900.000000
  76.072138, 4000.000000
  76.474533, 4100.000000
  76.880052, 4200.000000
  77.288727, 4300.000000
  77.700590, 4400.000000
  78.115674, 4500.000000
  78.534013, 4600.000000
  78.955640, 4700.000000
  79.380589, 4800.000000
  79.808895, 4900.000000
  80.240594, 5000.000000
  80.675719, 5100.000000
  81.114308, 5200.000000
  81.556397, 5300.000000
  82.002023, 5400.000000
  82.451223, 5500.000000
  82.904035, 5600.000000
  83.360498, 5700.000000
  83.820650, 5800.000000
  84.284531, 5900.000000
  84.752180, 6000.000000
  85.223639, 6100.000000
  85.698948, 6200.000000
  86.178148, 6300.000000
  86.661283, 6400.000000
  87.148394, 6500.000000
  87.639525, 6600.000000
  88.134719, 6700.000000
  88.634022, 6800.000000
  89.137478, 6900.000000
  89.645133, 7000.000000
  90.157032, 7100.000000
  90.673224, 7200.000000
  91.193756, 7300.000000
  91.718675, 7400.000000
  92.248031, 7500.000000
  92.781873, 7600.000000
  93.320252, 7700.000000
  93.863218, 7800.000000
  94.410824, 7900.000000
  94.963121, 8000.000000
  95.520163, 8100.000000
  96.082003, 8200.000000
  96.648697, 8300.000000
  97.220299, 8400.000000
  99.255634, 8500.000000
 137.989324, 8600.000000
 139.684331, 8500.000000
 141.193949, 8400.000000
 142.514977, 8300.000000
 143.644243, 8200.000000
 144.578617, 8100.000000
 145.528354, 8000.000000
 146.493317, 7900.000000
 147.258070, 7800.000000
 147.819583, 7700.000000
 148.609316, 7600.000000
 149.193668, 7500.000000
 149.788810, 7400.000000
 150.174568, 7300.000000
 150.790062, 7200.000000
 151.194114, 7100.000000
 151.606722, 7000.000000
 152.027811, 6900.000000
 152.232574, 6800.000000
 152.669481, 6700.000000
 152.888091, 6600.000000
 153.113076, 6500.000000
 153.572745, 6400.000000
 153.811203, 6300.000000
 153.825702, 6200.000000
 154.075612, 6100.000000
 154.331614, 6000.000000
 154.360842, 5900.000000
 154.394303, 5800.000000
 154.431956, 5700.000000
 154.473761, 5600.000000
 154.519680, 5500.000000
 154.569674, 5400.000000
 154.623705, 5300.000000
 154.681735, 5200.000000
 154.743728, 5100.000000
 154.809647, 5000.000000
 154.879455, 4900.000000
 154.710899, 4800.000000
 154.787549, 4700.000000
 154.867988, 4600.000000
 154.707478, 4500.000000
 154.549048, 4400.000000
 154.639014, 4300.000000
 154.485491, 4200.000000
 154.333977, 4100.000000
 154.184453, 4000.000000
 154.036896, 3900.000000
 154.141651, 3800.000000
 153.998763, 3700.000000
 153.857777, 3600.000000
 153.718673, 3500.000000
 153.581432, 3400.000000
 153.446034, 3300.000000
 153.312461, 3200.000000
 153.180692, 3100.000000
 153.050708, 3000.000000
 152.922493, 2900.000000
 152.796026, 2800.000000
 152.412370, 2700.000000
 152.288590, 2600.000000
 152.166507, 2500.000000
 151.784921, 2400.000000
 151.665435, 2300.000000
 151.547598, 2200.000000
 151.431395, 2100.000000
 151.052646, 2000.000000
 150.938921, 1900.000000
 150.826783, 1800.000000
 150.716216, 1700.000000
 150.340112, 1600.000000
 150.231913, 1500.000000
 149.856702, 1400.000000
 149.481564, 1300.000000
 149.376464, 1200.000000
 149.002163, 1100.000000
 148.627913, 1000.000000
 148.525810,  900.000000
 148.152344,  800.000000
 147.778906,  700.000000
 147.679703,  600.000000
 147.306999,  500.000000
 146.934302,  400.000000
 146.837903,  300.000000
 146.465891,  200.000000
 146.093865,  100.000000
 146.000178,    0.000000
