CL_e, CD_e
   0.033932,   -0.377894
   0.030967,   -0.316719
   0.028490,   -0.255481
   0.026484,   -0.194176
   0.024977,   -0.132809
   0.023947,   -0.071374
   0.023417,   -0.009876
   0.023365,    0.051690
   0.023812,    0.113321
   0.024742,    0.175021
   0.026176,    0.236787
   0.028097,    0.298621
   0.030521,    0.360523
   0.033439,    0.424866
   0.036862,    0.486845
   0.040791,    0.548894
   0.045228,    0.611013
   0.050179,    0.673202
   0.055630,    0.735465
   0.061601,    0.797799
   0.068075,    0.860209
   0.075068,    0.922693
   0.082569,    0.985253
   0.090591,    1.047889
   0.099130,    1.110604
   0.108203,    1.173396
   0.117877,    1.236262
   0.128124,    1.299210
   0.138963,    1.362237
   0.150392,    1.423491
