CL_e, CD_e
   0.033932,   -0.343931
   0.030967,   -0.288241
   0.028490,   -0.232495
   0.026484,   -0.176691
   0.024977,   -0.120831
   0.023947,   -0.064912
   0.023417,   -0.008938
   0.023365,    0.047096
   0.023812,    0.103188
   0.024742,    0.159340
   0.026176,    0.215549
   0.028097,    0.271820
   0.030521,    0.328150
   0.033439,    0.386699
   0.036862,    0.443094
   0.040791,    0.499551
   0.045228,    0.556069
   0.050179,    0.612649
   0.055630,    0.669294
   0.061612,    0.726001
   0.068096,    0.782774
   0.075098,    0.839612
   0.082609,    0.896517
   0.090641,    0.953489
   0.099189,    1.010528
   0.108273,    1.067636
   0.117966,    1.124808
   0.128231,    1.182050
   0.139109,    1.239362
   0.150581,    1.295054
