CD, CL
   0.031926,   -1.138323
   0.030448,   -1.116745
   0.029051,   -1.095273
   0.027733,   -1.073885
   0.026493,   -1.052588
   0.025332,   -1.031370
   0.024249,   -1.010230
   0.023241,   -0.989166
   0.022306,   -0.968178
   0.021446,   -0.947275
   0.020663,   -0.926444
   0.019950,   -0.905684
   0.019308,   -0.884994
   0.018737,   -0.864373
   0.018239,   -0.843827
   0.017811,   -0.823349
   0.017450,   -0.802935
   0.017157,   -0.782584
   0.016931,   -0.762296
   0.016777,   -0.742074
   0.016688,   -0.721915
   0.016663,   -0.701813
   0.016701,   -0.681768
   0.016807,   -0.661779
   0.016978,   -0.641848
   0.017257,   -0.618629
   0.017807,   -0.585286
   0.018572,   -0.550683
   0.019558,   -0.515133
   0.020806,   -0.477960
