Ground Roll Distance, Horizontal Forces
 331.646776, -2908.957530
 339.078318, -2900.802311
 389.865521, -2845.084833
 399.940509, -2834.034601
 409.988191, -2823.015113
 420.008643, -2812.026223
 430.001942, -2801.067787
 431.997350, -2798.879742
 432.006798, -2798.869381
 432.009893, -2798.865988
 432.011097, -2798.864668
 432.011551, -2798.864169
 432.011906, -2798.862728
 432.012226, -2798.861341
 432.015425, -2798.847470
 432.047416, -2798.708759
 432.367271, -2797.320763
 435.559737, -2783.352111
 466.849179, -2634.410216
 497.981317, -2460.617073
 526.433221, -2273.164611
 552.133144, -2073.234661
 575.157408, -1861.595287
 595.619655, -1639.028892
 613.654700, -1406.302747
 619.384226, -1323.121523
 623.380218, -1261.941810
 627.509632, -1195.690832
 628.398225, -1181.003860
 629.209181, -1167.463066
 637.064106, -1028.965210
 642.020120, -933.831493
 645.711843, -858.395982
 646.479303, -844.522131
 647.335126, -835.115470
 655.468661, -738.573195
 658.991159, -692.013703
 662.046974, -648.736596
 664.390854, -613.426969
 664.732294, -608.113117
 665.063764, -602.911067
 668.262832, -550.334504
 676.417265, -390.116243
 682.763490, -217.663924
 683.119573, -205.626476
 683.371226, -196.888521
 683.475865, -193.195553
 683.574717, -189.673045
 684.516570, -154.276023
 688.008079,   33.325240
 688.591430,   90.330031
 688.820354,  121.573149
 688.970607,  149.344412
 689.065993,  175.242210
 689.122864,  205.131749
 689.126917,  210.251487
 689.129323,  215.408335
 689.129924,  218.192514
 689.130043,  219.639040
 689.130053,  220.220000
