XLEw(m);ScaleFact;bc(m);XLEc(m);ScaleFact;Ecruise;WTO (kg);CLmax clean;M.S.S(%)
19.00;1.05;9.00;6.50;1.15;17.92;55137.22;2.60;-0.12
19.00;1.05;9.00;6.50;1.20;17.92;55163.12;2.68;-0.12
19.00;1.05;9.00;6.50;1.25;17.91;55189.16;2.77;-0.13
19.00;1.05;9.00;7.00;1.00;17.93;55060.46;2.28;-0.07
19.00;1.05;9.00;7.00;1.05;17.93;55085.88;2.36;-0.08
19.00;1.05;9.00;7.00;1.10;17.92;55111.47;2.45;-0.09
19.00;1.05;9.00;7.00;1.15;17.92;55137.22;2.53;-0.10
19.00;1.05;9.00;7.00;1.20;17.91;55163.12;2.61;-0.11
19.00;1.05;9.00;7.00;1.25;17.90;55189.16;2.70;-0.12
19.00;1.10;6.00;4.00;1.00;17.86;55001.01;1.93;0.05
19.00;1.10;6.00;4.00;1.05;17.86;55016.90;2.00;0.04
19.00;1.10;6.00;4.00;1.10;17.86;55032.92;2.07;0.04
19.00;1.10;6.00;4.00;1.15;17.85;55049.07;2.14;0.03
19.00;1.10;6.00;4.00;1.20;17.85;55065.33;2.21;0.03
19.00;1.10;6.00;4.00;1.25;17.85;55081.70;2.28;0.03
19.00;1.10;6.00;4.50;1.00;17.85;55001.01;1.89;0.06
19.00;1.10;6.00;4.50;1.05;17.85;55016.90;1.96;0.05
19.00;1.10;6.00;4.50;1.10;17.85;55032.92;2.03;0.05
19.00;1.10;6.00;4.50;1.15;17.84;55049.07;2.10;0.04
19.00;1.10;6.00;4.50;1.20;17.84;55065.33;2.16;0.04
19.00;1.10;6.00;4.50;1.25;17.84;55081.70;2.23;0.03
19.00;1.10;6.00;5.00;1.00;17.84;55001.01;1.85;0.07
19.00;1.10;6.00;5.00;1.05;17.84;55016.90;1.92;0.06
19.00;1.10;6.00;5.00;1.10;17.84;55032.92;1.99;0.06
19.00;1.10;6.00;5.00;1.15;17.83;55049.07;2.05;0.05
19.00;1.10;6.00;5.00;1.20;17.83;55065.33;2.12;0.05
19.00;1.10;6.00;5.00;1.25;17.83;55081.70;2.18;0.04
19.00;1.10;6.00;5.50;1.00;17.83;55001.01;1.81;0.07
19.00;1.10;6.00;5.50;1.05;17.83;55016.90;1.88;0.07
19.00;1.10;6.00;5.50;1.10;17.82;55032.92;1.94;0.06
19.00;1.10;6.00;5.50;1.15;17.82;55049.07;2.01;0.06
19.00;1.10;6.00;5.50;1.20;17.82;55065.33;2.07;0.06
19.00;1.10;6.00;5.50;1.25;17.82;55081.70;2.13;0.05
19.00;1.10;6.00;6.00;1.00;17.82;55001.01;1.77;0.08
19.00;1.10;6.00;6.00;1.05;17.81;55016.90;1.84;0.08
19.00;1.10;6.00;6.00;1.10;17.81;55032.92;1.90;0.07
19.00;1.10;6.00;6.00;1.15;17.81;55049.07;1.96;0.07
19.00;1.10;6.00;6.00;1.20;17.81;55065.33;2.02;0.06
19.00;1.10;6.00;6.00;1.25;17.80;55081.70;2.08;0.06
19.00;1.10;6.00;6.50;1.00;17.80;55001.01;1.73;0.09
19.00;1.10;6.00;6.50;1.05;17.80;55016.90;1.80;0.08
19.00;1.10;6.00;6.50;1.10;17.80;55032.92;1.86;0.08
19.00;1.10;6.00;6.50;1.15;17.80;55049.07;1.92;0.08
19.00;1.10;6.00;6.50;1.20;17.79;55065.33;1.98;0.07
19.00;1.10;6.00;6.50;1.25;17.79;55081.70;2.04;0.07
19.00;1.10;6.00;7.00;1.00;17.79;55001.01;1.69;0.10
19.00;1.10;6.00;7.00;1.05;17.79;55016.90;1.75;0.09
19.00;1.10;6.00;7.00;1.10;17.78;55032.92;1.81;0.09
19.00;1.10;6.00;7.00;1.15;17.78;55049.07;1.87;0.08
19.00;1.10;6.00;7.00;1.20;17.78;55065.33;1.93;0.08
19.00;1.10;6.00;7.00;1.25;17.77;55081.70;1.99;0.08
19.00;1.10;6.50;4.00;1.00;17.86;55027.57;2.05;0.02
19.00;1.10;6.50;4.00;1.05;17.86;55045.02;2.12;0.01
19.00;1.10;6.50;4.00;1.10;17.86;55062.61;2.20;0.00
19.00;1.10;6.50;4.00;1.15;17.85;55080.33;2.27;0.00
19.00;1.10;6.50;4.00;1.20;17.85;55098.17;2.35;-0.01
19.00;1.10;6.50;4.00;1.25;17.85;55116.13;2.42;-0.01
19.00;1.10;6.50;4.50;1.00;17.85;55027.57;2.01;0.02
19.00;1.10;6.50;4.50;1.05;17.85;55045.02;2.08;0.02
19.00;1.10;6.50;4.50;1.10;17.85;55062.61;2.15;0.01
19.00;1.10;6.50;4.50;1.15;17.84;55080.33;2.23;0.01
19.00;1.10;6.50;4.50;1.20;17.84;55098.17;2.30;0.00
19.00;1.10;6.50;4.50;1.25;17.84;55116.13;2.37;0.00
19.00;1.10;6.50;5.00;1.00;17.84;55027.57;1.96;0.03
19.00;1.10;6.50;5.00;1.05;17.84;55045.02;2.04;0.03
19.00;1.10;6.50;5.00;1.10;17.84;55062.61;2.11;0.02
19.00;1.10;6.50;5.00;1.15;17.83;55080.33;2.18;0.02
19.00;1.10;6.50;5.00;1.20;17.83;55098.17;2.25;0.01
19.00;1.10;6.50;5.00;1.25;17.83;55116.13;2.32;0.01
19.00;1.10;6.50;5.50;1.00;17.83;55027.57;1.92;0.04
19.00;1.10;6.50;5.50;1.05;17.83;55045.02;1.99;0.04
19.00;1.10;6.50;5.50;1.10;17.83;55062.61;2.06;0.03
19.00;1.10;6.50;5.50;1.15;17.82;55080.33;2.13;0.03
19.00;1.10;6.50;5.50;1.20;17.82;55098.17;2.20;0.02
19.00;1.10;6.50;5.50;1.25;17.81;55116.13;2.27;0.02
19.00;1.10;6.50;6.00;1.00;17.82;55027.57;1.88;0.05
19.00;1.10;6.50;6.00;1.05;17.82;55045.02;1.95;0.05
19.00;1.10;6.50;6.00;1.10;17.81;55062.61;2.01;0.04
19.00;1.10;6.50;6.00;1.15;17.81;55080.33;2.08;0.03
19.00;1.10;6.50;6.00;1.20;17.81;55098.17;2.15;0.03
19.00;1.10;6.50;6.00;1.25;17.80;55116.13;2.21;0.03
19.00;1.10;6.50;6.50;1.00;17.81;55027.57;1.84;0.06
19.00;1.10;6.50;6.50;1.05;17.80;55045.02;1.90;0.05
19.00;1.10;6.50;6.50;1.10;17.80;55062.61;1.97;0.05
19.00;1.10;6.50;6.50;1.15;17.80;55080.33;2.03;0.04
19.00;1.10;6.50;6.50;1.20;17.79;55098.17;2.10;0.04
19.00;1.10;6.50;6.50;1.25;17.79;55116.13;2.16;0.04
19.00;1.10;6.50;7.00;1.00;17.79;55027.57;1.79;0.07
19.00;1.10;6.50;7.00;1.05;17.79;55045.02;1.86;0.06
19.00;1.10;6.50;7.00;1.10;17.79;55062.61;1.92;0.06
19.00;1.10;6.50;7.00;1.15;17.78;55080.33;1.98;0.05
19.00;1.10;6.50;7.00;1.20;17.78;55098.17;2.05;0.05
19.00;1.10;6.50;7.00;1.25;17.78;55116.13;2.11;0.05
19.00;1.10;7.00;4.00;1.00;17.86;55054.47;2.17;-0.02
19.00;1.10;7.00;4.00;1.05;17.86;55073.50;2.25;-0.03
19.00;1.10;7.00;4.00;1.10;17.85;55092.67;2.33;-0.03
19.00;1.10;7.00;4.00;1.15;17.85;55111.97;2.41;-0.04
19.00;1.10;7.00;4.00;1.20;17.85;55131.41;2.48;-0.05
19.00;1.10;7.00;4.00;1.25;17.84;55150.97;2.56;-0.05
19.00;1.10;7.00;4.50;1.00;17.85;55054.47;2.12;-0.01
19.00;1.10;7.00;4.50;1.05;17.85;55073.50;2.20;-0.02
19.00;1.10;7.00;4.50;1.10;17.84;55092.67;2.28;-0.02
19.00;1.10;7.00;4.50;1.15;17.84;55111.97;2.35;-0.03
19.00;1.10;7.00;4.50;1.20;17.84;55131.41;2.43;-0.03
19.00;1.10;7.00;4.50;1.25;17.83;55150.97;2.51;-0.04
19.00;1.10;7.00;5.00;1.00;17.84;55054.47;2.07;0.00
19.00;1.10;7.00;5.00;1.05;17.84;55073.50;2.15;-0.01
19.00;1.10;7.00;5.00;1.10;17.83;55092.67;2.23;-0.01
19.00;1.10;7.00;5.00;1.15;17.83;55111.97;2.30;-0.02
19.00;1.10;7.00;5.00;1.20;17.83;55131.41;2.38;-0.02
19.00;1.10;7.00;5.00;1.25;17.82;55150.97;2.45;-0.03
19.00;1.10;7.00;5.50;1.00;17.83;55054.47;2.03;0.01
19.00;1.10;7.00;5.50;1.05;17.83;55073.50;2.10;0.00
19.00;1.10;7.00;5.50;1.10;17.82;55092.67;2.18;0.00
19.00;1.10;7.00;5.50;1.15;17.82;55111.97;2.25;-0.01
19.00;1.10;7.00;5.50;1.20;17.82;55131.41;2.32;-0.01
19.00;1.10;7.00;5.50;1.25;17.81;55150.97;2.40;-0.02
19.00;1.10;7.00;6.00;1.00;17.82;55054.47;1.98;0.02
19.00;1.10;7.00;6.00;1.05;17.82;55073.50;2.06;0.01
19.00;1.10;7.00;6.00;1.10;17.81;55092.67;2.13;0.01
19.00;1.10;7.00;6.00;1.15;17.81;55111.97;2.20;0.00
19.00;1.10;7.00;6.00;1.20;17.81;55131.41;2.27;0.00
19.00;1.10;7.00;6.00;1.25;17.80;55150.97;2.34;-0.01
19.00;1.10;7.00;6.50;1.00;17.81;55054.47;1.94;0.03
19.00;1.10;7.00;6.50;1.05;17.81;55073.50;2.01;0.02
19.00;1.10;7.00;6.50;1.10;17.80;55092.67;2.08;0.02
19.00;1.10;7.00;6.50;1.15;17.80;55111.97;2.15;0.01
19.00;1.10;7.00;6.50;1.20;17.79;55131.41;2.22;0.01
19.00;1.10;7.00;6.50;1.25;17.79;55150.97;2.28;0.00
19.00;1.10;7.00;7.00;1.00;17.80;55054.47;1.89;0.04
19.00;1.10;7.00;7.00;1.05;17.79;55073.50;1.96;0.03
19.00;1.10;7.00;7.00;1.10;17.79;55092.67;2.03;0.03
19.00;1.10;7.00;7.00;1.15;17.78;55111.97;2.09;0.02
19.00;1.10;7.00;7.00;1.20;17.78;55131.41;2.16;0.02
19.00;1.10;7.00;7.00;1.25;17.78;55150.97;2.23;0.01
19.00;1.10;7.50;4.00;1.00;17.86;55081.70;2.28;-0.05
19.00;1.10;7.50;4.00;1.05;17.85;55102.30;2.37;-0.06
19.00;1.10;7.50;4.00;1.10;17.85;55123.07;2.45;-0.07
19.00;1.10;7.50;4.00;1.15;17.85;55143.97;2.54;-0.08
19.00;1.10;7.50;4.00;1.20;17.84;55165.01;2.62;-0.08
19.00;1.10;7.50;4.00;1.25;17.84;55186.18;2.70;-0.09
19.00;1.10;7.50;4.50;1.00;17.85;55081.70;2.23;-0.04
19.00;1.10;7.50;4.50;1.05;17.85;55102.30;2.32;-0.05
19.00;1.10;7.50;4.50;1.10;17.84;55123.07;2.40;-0.06
19.00;1.10;7.50;4.50;1.15;17.84;55143.97;2.48;-0.06
19.00;1.10;7.50;4.50;1.20;17.83;55165.01;2.56;-0.07
19.00;1.10;7.50;4.50;1.25;17.83;55186.18;2.64;-0.08
19.00;1.10;7.50;5.00;1.00;17.84;55081.70;2.18;-0.03
19.00;1.10;7.50;5.00;1.05;17.84;55102.30;2.27;-0.04
19.00;1.10;7.50;5.00;1.10;17.83;55123.07;2.35;-0.05
19.00;1.10;7.50;5.00;1.15;17.83;55143.97;2.43;-0.05
19.00;1.10;7.50;5.00;1.20;17.82;55165.01;2.51;-0.06
19.00;1.10;7.50;5.00;1.25;17.82;55186.18;2.58;-0.07
19.00;1.10;7.50;5.50;1.00;17.83;55081.70;2.14;-0.02
19.00;1.10;7.50;5.50;1.05;17.83;55102.30;2.21;-0.03
19.00;1.10;7.50;5.50;1.10;17.82;55123.07;2.29;-0.03
19.00;1.10;7.50;5.50;1.15;17.82;55143.97;2.37;-0.04
19.00;1.10;7.50;5.50;1.20;17.81;55165.01;2.45;-0.05
19.00;1.10;7.50;5.50;1.25;17.81;55186.18;2.53;-0.05
19.00;1.10;7.50;6.00;1.00;17.82;55081.70;2.09;-0.01
19.00;1.10;7.50;6.00;1.05;17.82;55102.30;2.16;-0.02
19.00;1.10;7.50;6.00;1.10;17.81;55123.07;2.24;-0.02
19.00;1.10;7.50;6.00;1.15;17.81;55143.97;2.32;-0.03
19.00;1.10;7.50;6.00;1.20;17.80;55165.01;2.39;-0.04
19.00;1.10;7.50;6.00;1.25;17.80;55186.18;2.47;-0.04
19.00;1.10;7.50;6.50;1.00;17.81;55081.70;2.04;0.00
19.00;1.10;7.50;6.50;1.05;17.80;55102.30;2.11;-0.01
19.00;1.10;7.50;6.50;1.10;17.80;55123.07;2.19;-0.01
19.00;1.10;7.50;6.50;1.15;17.80;55143.97;2.26;-0.02
19.00;1.10;7.50;6.50;1.20;17.79;55165.01;2.33;-0.02
19.00;1.10;7.50;6.50;1.25;17.79;55186.18;2.41;-0.03
19.00;1.10;7.50;7.00;1.00;17.80;55081.70;1.99;0.01
19.00;1.10;7.50;7.00;1.05;17.79;55102.30;2.06;0.01
19.00;1.10;7.50;7.00;1.10;17.79;55123.07;2.13;0.00
19.00;1.10;7.50;7.00;1.15;17.78;55143.97;2.21;-0.01
19.00;1.10;7.50;7.00;1.20;17.78;55165.01;2.28;-0.01
19.00;1.10;7.50;7.00;1.25;17.77;55186.18;2.35;-0.02
19.00;1.10;8.00;4.00;1.00;17.86;55109.21;2.40;-0.08
19.00;1.10;8.00;4.00;1.05;17.85;55131.41;2.49;-0.09
19.00;1.10;8.00;4.00;1.10;17.84;55153.78;2.58;-0.10
19.00;1.10;8.00;4.00;1.15;17.84;55176.29;2.66;-0.11
19.00;1.10;8.00;4.00;1.20;17.83;55198.94;2.75;-0.12
19.00;1.10;8.00;4.00;1.25;17.83;55221.73;2.84;-0.13
19.00;1.10;8.00;4.50;1.00;17.85;55109.21;2.34;-0.07
19.00;1.10;8.00;4.50;1.05;17.84;55131.41;2.43;-0.08
19.00;1.10;8.00;4.50;1.10;17.84;55153.78;2.52;-0.09
19.00;1.10;8.00;4.50;1.15;17.83;55176.29;2.61;-0.10
19.00;1.10;8.00;4.50;1.20;17.83;55198.94;2.69;-0.11
19.00;1.10;8.00;4.50;1.25;17.82;55221.73;2.78;-0.11
19.00;1.10;8.00;5.00;1.00;17.84;55109.21;2.29;-0.06
19.00;1.10;8.00;5.00;1.05;17.83;55131.41;2.38;-0.07
19.00;1.10;8.00;5.00;1.10;17.83;55153.78;2.46;-0.08
19.00;1.10;8.00;5.00;1.15;17.82;55176.29;2.55;-0.09
19.00;1.10;8.00;5.00;1.20;17.82;55198.94;2.63;-0.09
19.00;1.10;8.00;5.00;1.25;17.81;55221.73;2.72;-0.10
19.00;1.10;8.00;5.50;1.00;17.83;55109.21;2.24;-0.05
19.00;1.10;8.00;5.50;1.05;17.82;55131.41;2.32;-0.06
19.00;1.10;8.00;5.50;1.10;17.82;55153.78;2.41;-0.07
19.00;1.10;8.00;5.50;1.15;17.81;55176.29;2.49;-0.07
19.00;1.10;8.00;5.50;1.20;17.81;55198.94;2.57;-0.08
19.00;1.10;8.00;5.50;1.25;17.80;55221.73;2.65;-0.09
19.00;1.10;8.00;6.00;1.00;17.82;55109.21;2.19;-0.04
19.00;1.10;8.00;6.00;1.05;17.81;55131.41;2.27;-0.05
19.00;1.10;8.00;6.00;1.10;17.81;55153.78;2.35;-0.05
19.00;1.10;8.00;6.00;1.15;17.80;55176.29;2.43;-0.06
19.00;1.10;8.00;6.00;1.20;17.80;55198.94;2.51;-0.07
19.00;1.10;8.00;6.00;1.25;17.79;55221.73;2.59;-0.08
19.00;1.10;8.00;6.50;1.00;17.81;55109.21;2.14;-0.03
19.00;1.10;8.00;6.50;1.05;17.80;55131.41;2.22;-0.03
19.00;1.10;8.00;6.50;1.10;17.80;55153.78;2.30;-0.04
19.00;1.10;8.00;6.50;1.15;17.79;55176.29;2.37;-0.05
19.00;1.10;8.00;6.50;1.20;17.79;55198.94;2.45;-0.06
19.00;1.10;8.00;6.50;1.25;17.78;55221.73;2.53;-0.06
19.00;1.10;8.00;7.00;1.00;17.79;55109.21;2.09;-0.01
19.00;1.10;8.00;7.00;1.05;17.79;55131.41;2.16;-0.02
19.00;1.10;8.00;7.00;1.10;17.78;55153.78;2.24;-0.03
19.00;1.10;8.00;7.00;1.15;17.78;55176.29;2.31;-0.04
19.00;1.10;8.00;7.00;1.20;17.77;55198.94;2.39;-0.04
19.00;1.10;8.00;7.00;1.25;17.77;55221.73;2.46;-0.05
19.00;1.10;8.50;4.00;1.00;17.85;55136.99;2.51;-0.12
19.00;1.10;8.50;4.00;1.05;17.84;55160.80;2.60;-0.13
19.00;1.10;8.50;4.00;1.10;17.84;55184.77;2.70;-0.14
19.00;1.10;8.50;4.00;1.15;17.83;55208.90;2.79;-0.15
19.00;1.10;8.50;4.00;1.20;17.83;55233.17;2.88;-0.16
19.00;1.10;8.50;4.00;1.25;17.82;55257.58;2.98;-0.17
19.00;1.10;8.50;4.50;1.00;17.84;55136.99;2.45;-0.10
19.00;1.10;8.50;4.50;1.05;17.84;55160.80;2.55;-0.11
19.00;1.10;8.50;4.50;1.10;17.83;55184.77;2.64;-0.12
19.00;1.10;8.50;4.50;1.15;17.83;55208.90;2.73;-0.13
19.00;1.10;8.50;4.50;1.20;17.82;55233.17;2.82;-0.14
19.00;1.10;8.50;4.50;1.25;17.82;55257.58;2.91;-0.15
19.00;1.10;8.50;5.00;1.00;17.83;55136.99;2.40;-0.09
19.00;1.10;8.50;5.00;1.05;17.83;55160.80;2.49;-0.10
19.00;1.10;8.50;5.00;1.10;17.82;55184.77;2.58;-0.11
19.00;1.10;8.50;5.00;1.15;17.82;55208.90;2.67;-0.12
19.00;1.10;8.50;5.00;1.20;17.81;55233.17;2.76;-0.13
19.00;1.10;8.50;5.00;1.25;17.81;55257.58;2.85;-0.14
19.00;1.10;8.50;5.50;1.00;17.82;55136.99;2.35;-0.08
19.00;1.10;8.50;5.50;1.05;17.82;55160.80;2.43;-0.09
19.00;1.10;8.50;5.50;1.10;17.81;55184.77;2.52;-0.10
19.00;1.10;8.50;5.50;1.15;17.81;55208.90;2.61;-0.11
19.00;1.10;8.50;5.50;1.20;17.80;55233.17;2.69;-0.12
19.00;1.10;8.50;5.50;1.25;17.80;55257.58;2.78;-0.12
19.00;1.10;8.50;6.00;1.00;17.81;55136.99;2.29;-0.07
19.00;1.10;8.50;6.00;1.05;17.81;55160.80;2.38;-0.08
19.00;1.10;8.50;6.00;1.10;17.80;55184.77;2.46;-0.09
19.00;1.10;8.50;6.00;1.15;17.80;55208.90;2.55;-0.09
19.00;1.10;8.50;6.00;1.20;17.79;55233.17;2.63;-0.10
19.00;1.10;8.50;6.00;1.25;17.79;55257.58;2.71;-0.11
19.00;1.10;8.50;6.50;1.00;17.80;55136.99;2.24;-0.05
19.00;1.10;8.50;6.50;1.05;17.80;55160.80;2.32;-0.06
19.00;1.10;8.50;6.50;1.10;17.79;55184.77;2.40;-0.07
19.00;1.10;8.50;6.50;1.15;17.79;55208.90;2.48;-0.08
19.00;1.10;8.50;6.50;1.20;17.78;55233.17;2.57;-0.09
19.00;1.10;8.50;6.50;1.25;17.78;55257.58;2.65;-0.10
19.00;1.10;8.50;7.00;1.00;17.79;55136.99;2.18;-0.04
19.00;1.10;8.50;7.00;1.05;17.79;55160.80;2.26;-0.05
19.00;1.10;8.50;7.00;1.10;17.78;55184.77;2.34;-0.06
19.00;1.10;8.50;7.00;1.15;17.78;55208.90;2.42;-0.07
19.00;1.10;8.50;7.00;1.20;17.77;55233.17;2.50;-0.08
19.00;1.10;8.50;7.00;1.25;17.77;55257.58;2.58;-0.08
19.00;1.10;9.00;4.00;1.00;17.85;55165.01;2.62;-0.15
19.00;1.10;9.00;4.00;1.05;17.84;55190.43;2.72;-0.16
19.00;1.10;9.00;4.00;1.10;17.83;55216.02;2.82;-0.17
19.00;1.10;9.00;4.00;1.15;17.83;55241.77;2.92;-0.18
19.00;1.10;9.00;4.00;1.20;17.82;55267.67;3.01;-0.19
19.00;1.10;9.00;4.00;1.25;17.82;55293.71;3.11;-0.20
19.00;1.10;9.00;4.50;1.00;17.84;55165.01;2.56;-0.14
19.00;1.10;9.00;4.50;1.05;17.83;55190.43;2.66;-0.15
19.00;1.10;9.00;4.50;1.10;17.83;55216.02;2.76;-0.16
19.00;1.10;9.00;4.50;1.15;17.82;55241.77;2.85;-0.17
19.00;1.10;9.00;4.50;1.20;17.81;55267.67;2.95;-0.18
19.00;1.10;9.00;4.50;1.25;17.81;55293.71;3.04;-0.19
19.00;1.10;9.00;5.00;1.00;17.83;55165.01;2.51;-0.12
19.00;1.10;9.00;5.00;1.05;17.82;55190.43;2.60;-0.13
19.00;1.10;9.00;5.00;1.10;17.82;55216.02;2.70;-0.14
19.00;1.10;9.00;5.00;1.15;17.81;55241.77;2.79;-0.15
19.00;1.10;9.00;5.00;1.20;17.81;55267.67;2.88;-0.16
19.00;1.10;9.00;5.00;1.25;17.80;55293.71;2.97;-0.17
19.00;1.10;9.00;5.50;1.00;17.82;55165.01;2.45;-0.11
19.00;1.10;9.00;5.50;1.05;17.81;55190.43;2.54;-0.12
19.00;1.10;9.00;5.50;1.10;17.81;55216.02;2.63;-0.13
19.00;1.10;9.00;5.50;1.15;17.80;55241.77;2.72;-0.14
19.00;1.10;9.00;5.50;1.20;17.80;55267.67;2.82;-0.15
19.00;1.10;9.00;5.50;1.25;17.79;55293.71;2.90;-0.16
19.00;1.10;9.00;6.00;1.00;17.81;55165.01;2.39;-0.09
19.00;1.10;9.00;6.00;1.05;17.80;55190.43;2.48;-0.11
19.00;1.10;9.00;6.00;1.10;17.80;55216.02;2.57;-0.12
19.00;1.10;9.00;6.00;1.15;17.79;55241.77;2.66;-0.13
19.00;1.10;9.00;6.00;1.20;17.79;55267.67;2.75;-0.13
19.00;1.10;9.00;6.00;1.25;17.78;55293.71;2.84;-0.14
19.00;1.10;9.00;6.50;1.00;17.80;55165.01;2.33;-0.08
19.00;1.10;9.00;6.50;1.05;17.79;55190.43;2.42;-0.09
19.00;1.10;9.00;6.50;1.10;17.79;55216.02;2.51;-0.10
19.00;1.10;9.00;6.50;1.15;17.78;55241.77;2.60;-0.11
19.00;1.10;9.00;6.50;1.20;17.78;55267.67;2.68;-0.12
19.00;1.10;9.00;6.50;1.25;17.77;55293.71;2.77;-0.13
19.00;1.10;9.00;7.00;1.00;17.79;55165.01;2.28;-0.07
19.00;1.10;9.00;7.00;1.05;17.78;55190.43;2.36;-0.08
19.00;1.10;9.00;7.00;1.10;17.78;55216.02;2.45;-0.09
19.00;1.10;9.00;7.00;1.15;17.77;55241.77;2.53;-0.10
19.00;1.10;9.00;7.00;1.20;17.77;55267.67;2.61;-0.11
19.00;1.10;9.00;7.00;1.25;17.76;55293.71;2.70;-0.11
19.00;1.15;6.00;4.00;1.00;17.72;55105.55;1.94;0.05
19.00;1.15;6.00;4.00;1.05;17.72;55121.44;2.00;0.05
19.00;1.15;6.00;4.00;1.10;17.72;55137.46;2.07;0.04
19.00;1.15;6.00;4.00;1.15;17.71;55153.60;2.14;0.04
19.00;1.15;6.00;4.00;1.20;17.71;55169.86;2.21;0.03
19.00;1.15;6.00;4.00;1.25;17.71;55186.23;2.28;0.03
19.00;1.15;6.00;4.50;1.00;17.71;55105.55;1.90;0.06
19.00;1.15;6.00;4.50;1.05;17.71;55121.44;1.96;0.06
19.00;1.15;6.00;4.50;1.10;17.70;55137.46;2.03;0.05
19.00;1.15;6.00;4.50;1.15;17.70;55153.60;2.10;0.05
19.00;1.15;6.00;4.50;1.20;17.70;55169.86;2.17;0.04
19.00;1.15;6.00;4.50;1.25;17.70;55186.23;2.23;0.04
19.00;1.15;6.00;5.00;1.00;17.70;55105.55;1.86;0.07
19.00;1.15;6.00;5.00;1.05;17.69;55121.44;1.92;0.06
19.00;1.15;6.00;5.00;1.10;17.69;55137.46;1.99;0.06
19.00;1.15;6.00;5.00;1.15;17.69;55153.60;2.05;0.05
19.00;1.15;6.00;5.00;1.20;17.69;55169.86;2.12;0.05
19.00;1.15;6.00;5.00;1.25;17.68;55186.23;2.18;0.05
19.00;1.15;6.00;5.50;1.00;17.68;55105.55;1.82;0.08
19.00;1.15;6.00;5.50;1.05;17.68;55121.44;1.88;0.07
19.00;1.15;6.00;5.50;1.10;17.68;55137.46;1.95;0.07
19.00;1.15;6.00;5.50;1.15;17.68;55153.60;2.01;0.06
19.00;1.15;6.00;5.50;1.20;17.67;55169.86;2.07;0.06
19.00;1.15;6.00;5.50;1.25;17.67;55186.23;2.14;0.06
19.00;1.15;6.00;6.00;1.00;17.67;55105.55;1.78;0.08
19.00;1.15;6.00;6.00;1.05;17.67;55121.44;1.84;0.08
19.00;1.15;6.00;6.00;1.10;17.66;55137.46;1.90;0.08
19.00;1.15;6.00;6.00;1.15;17.66;55153.60;1.96;0.07
19.00;1.15;6.00;6.00;1.20;17.66;55169.86;2.03;0.07
19.00;1.15;6.00;6.00;1.25;17.66;55186.23;2.09;0.06
19.00;1.15;6.00;6.50;1.00;17.65;55105.55;1.74;0.09
19.00;1.15;6.00;6.50;1.05;17.65;55121.44;1.80;0.09
19.00;1.15;6.00;6.50;1.10;17.65;55137.46;1.86;0.08
19.00;1.15;6.00;6.50;1.15;17.64;55153.60;1.92;0.08
19.00;1.15;6.00;6.50;1.20;17.64;55169.86;1.98;0.08
19.00;1.15;6.00;6.50;1.25;17.64;55186.23;2.04;0.07
19.00;1.15;6.00;7.00;1.00;17.63;55105.55;1.70;0.10
19.00;1.15;6.00;7.00;1.05;17.63;55121.44;1.76;0.10
19.00;1.15;6.00;7.00;1.10;17.63;55137.46;1.82;0.09
19.00;1.15;6.00;7.00;1.15;17.63;55153.60;1.87;0.09
19.00;1.15;6.00;7.00;1.20;17.62;55169.86;1.93;0.08
19.00;1.15;6.00;7.00;1.25;17.62;55186.23;1.99;0.08
19.00;1.15;6.50;4.00;1.00;17.73;55132.10;2.05;0.02
19.00;1.15;6.50;4.00;1.05;17.72;55149.55;2.13;0.01
19.00;1.15;6.50;4.00;1.10;17.72;55167.14;2.20;0.01
19.00;1.15;6.50;4.00;1.15;17.72;55184.86;2.27;0.00
19.00;1.15;6.50;4.00;1.20;17.71;55202.70;2.35;0.00
19.00;1.15;6.50;4.00;1.25;17.71;55220.66;2.42;-0.01
19.00;1.15;6.50;4.50;1.00;17.71;55132.10;2.01;0.03
19.00;1.15;6.50;4.50;1.05;17.71;55149.55;2.08;0.02
19.00;1.15;6.50;4.50;1.10;17.71;55167.14;2.16;0.02
19.00;1.15;6.50;4.50;1.15;17.70;55184.86;2.23;0.01
19.00;1.15;6.50;4.50;1.20;17.70;55202.70;2.30;0.01
19.00;1.15;6.50;4.50;1.25;17.70;55220.66;2.37;0.00
19.00;1.15;6.50;5.00;1.00;17.70;55132.10;1.97;0.04
19.00;1.15;6.50;5.00;1.05;17.70;55149.55;2.04;0.03
19.00;1.15;6.50;5.00;1.10;17.70;55167.14;2.11;0.03
19.00;1.15;6.50;5.00;1.15;17.69;55184.86;2.18;0.02
19.00;1.15;6.50;5.00;1.20;17.69;55202.70;2.25;0.02
19.00;1.15;6.50;5.00;1.25;17.69;55220.66;2.32;0.01
19.00;1.15;6.50;5.50;1.00;17.69;55132.10;1.93;0.05
19.00;1.15;6.50;5.50;1.05;17.69;55149.55;1.99;0.04
19.00;1.15;6.50;5.50;1.10;17.68;55167.14;2.06;0.03
19.00;1.15;6.50;5.50;1.15;17.68;55184.86;2.13;0.03
19.00;1.15;6.50;5.50;1.20;17.68;55202.70;2.20;0.02
19.00;1.15;6.50;5.50;1.25;17.67;55220.66;2.27;0.02
19.00;1.15;6.50;6.00;1.00;17.67;55132.10;1.88;0.05
19.00;1.15;6.50;6.00;1.05;17.67;55149.55;1.95;0.05
