XLEw(m);ScaleFact;bc(m);XLEc(m);ScaleFact;Ecruise;WTO (kg);CLmax clean;M.S.S(%)
19.00;0.95;8.00;4.50;1.05;18.28;54817.78;2.44;-0.10
19.00;0.95;8.00;4.50;1.10;18.28;54840.15;2.53;-0.11
19.00;0.95;8.00;4.50;1.15;18.27;54862.67;2.62;-0.12
19.00;0.95;8.00;4.50;1.20;18.26;54885.33;2.71;-0.12
19.00;0.95;8.00;4.50;1.25;18.26;54908.12;2.79;-0.13
19.00;0.95;8.00;5.00;1.00;18.28;54795.57;2.30;-0.08
19.00;0.95;8.00;5.00;1.05;18.28;54817.78;2.39;-0.09
19.00;0.95;8.00;5.00;1.10;18.27;54840.15;2.47;-0.09
19.00;0.95;8.00;5.00;1.15;18.27;54862.67;2.56;-0.10
19.00;0.95;8.00;5.00;1.20;18.26;54885.33;2.65;-0.11
19.00;0.95;8.00;5.00;1.25;18.25;54908.12;2.73;-0.12
19.00;0.95;8.00;5.50;1.00;18.28;54795.57;2.24;-0.06
19.00;0.95;8.00;5.50;1.05;18.27;54817.78;2.33;-0.07
19.00;0.95;8.00;5.50;1.10;18.27;54840.15;2.41;-0.08
19.00;0.95;8.00;5.50;1.15;18.26;54862.67;2.50;-0.09
19.00;0.95;8.00;5.50;1.20;18.25;54885.33;2.58;-0.10
19.00;0.95;8.00;5.50;1.25;18.25;54908.12;2.67;-0.10
19.00;0.95;8.00;6.00;1.00;18.27;54795.57;2.19;-0.05
19.00;0.95;8.00;6.00;1.05;18.27;54817.78;2.27;-0.06
19.00;0.95;8.00;6.00;1.10;18.26;54840.15;2.36;-0.07
19.00;0.95;8.00;6.00;1.15;18.26;54862.67;2.44;-0.08
19.00;0.95;8.00;6.00;1.20;18.25;54885.33;2.52;-0.09
19.00;0.95;8.00;6.00;1.25;18.24;54908.12;2.60;-0.09
19.00;0.95;8.00;6.50;1.00;18.27;54795.57;2.14;-0.04
19.00;0.95;8.00;6.50;1.05;18.26;54817.78;2.22;-0.05
19.00;0.95;8.00;6.50;1.10;18.26;54840.15;2.30;-0.06
19.00;0.95;8.00;6.50;1.15;18.25;54862.67;2.38;-0.07
19.00;0.95;8.00;6.50;1.20;18.24;54885.33;2.46;-0.07
19.00;0.95;8.00;6.50;1.25;18.24;54908.12;2.54;-0.08
19.00;0.95;8.00;7.00;1.00;18.26;54795.57;2.08;-0.03
19.00;0.95;8.00;7.00;1.05;18.26;54817.78;2.16;-0.04
19.00;0.95;8.00;7.00;1.10;18.25;54840.15;2.24;-0.05
19.00;0.95;8.00;7.00;1.15;18.24;54862.67;2.32;-0.05
19.00;0.95;8.00;7.00;1.20;18.24;54885.33;2.39;-0.06
19.00;0.95;8.00;7.00;1.25;18.23;54908.12;2.47;-0.07
19.00;0.95;8.50;4.00;1.00;18.29;54823.36;2.52;-0.13
19.00;0.95;8.50;4.00;1.05;18.28;54847.17;2.62;-0.14
19.00;0.95;8.50;4.00;1.10;18.27;54871.15;2.71;-0.15
19.00;0.95;8.50;4.00;1.15;18.27;54895.28;2.81;-0.16
19.00;0.95;8.50;4.00;1.20;18.26;54919.56;2.90;-0.17
19.00;0.95;8.50;4.00;1.25;18.25;54943.98;3.00;-0.18
19.00;0.95;8.50;4.50;1.00;18.28;54823.36;2.46;-0.12
19.00;0.95;8.50;4.50;1.05;18.27;54847.17;2.56;-0.13
19.00;0.95;8.50;4.50;1.10;18.27;54871.15;2.65;-0.14
19.00;0.95;8.50;4.50;1.15;18.26;54895.28;2.75;-0.15
19.00;0.95;8.50;4.50;1.20;18.25;54919.56;2.84;-0.16
19.00;0.95;8.50;4.50;1.25;18.25;54943.98;2.93;-0.17
19.00;0.95;8.50;5.00;1.00;18.28;54823.36;2.41;-0.11
19.00;0.95;8.50;5.00;1.05;18.27;54847.17;2.50;-0.12
19.00;0.95;8.50;5.00;1.10;18.26;54871.15;2.59;-0.13
19.00;0.95;8.50;5.00;1.15;18.26;54895.28;2.68;-0.14
19.00;0.95;8.50;5.00;1.20;18.25;54919.56;2.77;-0.15
19.00;0.95;8.50;5.00;1.25;18.24;54943.98;2.86;-0.15
19.00;0.95;8.50;5.50;1.00;18.27;54823.36;2.35;-0.09
19.00;0.95;8.50;5.50;1.05;18.27;54847.17;2.44;-0.10
19.00;0.95;8.50;5.50;1.10;18.26;54871.15;2.53;-0.11
19.00;0.95;8.50;5.50;1.15;18.25;54895.28;2.62;-0.12
