Cruise Altitude[ft];Cruise Mach number;BlockFuel[kg];AnnualDOC[M$_year]
20000;0.45;8129.79267;24.36089942
20000;0.46;7970.785762;24.38423196
20000;0.47;7826.455212;24.41377862
20000;0.48;7695.683967;24.45048165
20000;0.49;7579.471414;24.50400356
20000;0.5;7473.923475;24.56208504
20000;0.51;7375.929645;24.62252136
20000;0.52;7290.324786;24.6897897
20000;0.53;7215.928307;24.76333065
20000;0.54;7151.653617;24.84260607
20000;0.55;7096.563088;24.92715492
20000;0.56;7049.95294;25.01667897
20000;0.57;7011.165551;25.11088517
20000;0.58;6979.589169;25.20946931
20000;0.59;6954.652113;25.31210684
20000;0.6;6935.849629;25.41863051
20000;0.61;6922.739088;25.5288307
20000;0.62;6914.953701;25.6425485
20000;0.63;6912.190762;25.75966852
20000;0.64;6914.24408;25.88015403
20250;0.64;6914.24408;25.88015403
20250;0.63;6912.190762;25.75966852
20250;0.62;6914.9537;25.6425485
20250;0.61;6922.739087;25.5288307
20250;0.6;6935.849629;25.41863051
20250;0.59;6954.652113;25.31210684
20250;0.58;6979.589169;25.20946931
20250;0.57;7011.165551;25.11088517
20250;0.56;7049.95294;25.01667897
20250;0.55;7096.563088;24.92715492
20250;0.54;7151.653617;24.84260607
20250;0.53;7215.928307;24.76333065
20250;0.52;7290.324785;24.6897897
20250;0.51;7375.929644;24.62252136
20250;0.5;7473.923475;24.56208504
20250;0.49;7579.471414;24.50400356
20250;0.48;7695.683967;24.45048165
20250;0.47;7826.455212;24.41377862
20250;0.46;7970.785762;24.38423196
20250;0.45;8129.792678;24.36089942
20500;0.45;8129.792678;24.36089942
20500;0.46;7970.785762;24.38423196
20500;0.47;7826.455212;24.41377862
20500;0.48;7695.683967;24.45048165
20500;0.49;7579.471414;24.50400356
20500;0.5;7473.923475;24.56208504
20500;0.51;7375.929645;24.62252136
20500;0.52;7290.324786;24.6897897
20500;0.53;7215.928307;24.76333065
20500;0.54;7151.653617;24.84260607
20500;0.55;7096.563088;24.92715492
20500;0.56;7049.95294;25.01667897
20500;0.57;7011.165551;25.11088517
20500;0.58;6979.589169;25.20946931
20500;0.59;6954.652113;25.31210684
20500;0.6;6935.849629;25.41863051
20500;0.61;6922.739088;25.5288307
20500;0.62;6914.953701;25.6425485
20500;0.63;6912.190762;25.75966852
20500;0.64;6914.24408;25.88015403
20750;0.64;6914.24408;25.88015403
20750;0.63;6912.190762;25.75966852
20750;0.62;6914.9537;25.6425485
20750;0.61;6922.739087;25.5288307
20750;0.6;6935.849629;25.41863051
20750;0.59;6954.652113;25.31210684
20750;0.58;6979.589169;25.20946931
20750;0.57;7011.165551;25.11088517
20750;0.56;7049.95294;25.01667897
20750;0.55;7096.563088;24.92715492
20750;0.54;7151.653617;24.84260607
20750;0.53;7215.928307;24.76333065
20750;0.52;7290.324785;24.6897897
20750;0.51;7375.929644;24.62252136
20750;0.5;7473.923475;24.56208504
20750;0.49;7579.471414;24.50400356
20750;0.48;7695.683967;24.45048165
20750;0.47;7826.455212;24.41377862
20750;0.46;7970.785762;24.38423196
20750;0.45;8129.792678;24.36089942
21000;0.45;8035.468256;24.2322657
21000;0.46;7863.670818;24.24302396
21000;0.47;7706.960498;24.26003903
21000;0.48;7563.821153;24.28269904
21000;0.49;7432.936252;24.31047363
21000;0.5;7314.18936;24.34750152
21000;0.51;7205.538968;24.39540775
21000;0.52;7109.11238;24.44976536
21000;0.53;7024.001673;24.51024981
21000;0.54;6949.226963;24.57642427
21000;0.55;6883.767452;24.64776502
21000;0.56;6826.728902;24.72381091
21000;0.57;6777.354478;24.80418102
21000;0.58;6735.099807;24.88865128
21000;0.59;6699.443575;24.97699095
21000;0.6;6669.879695;25.06895731
21000;0.61;6645.921448;25.16423791
21000;0.62;6627.138516;25.26266368
21000;0.63;6613.166832;25.36408279
21000;0.64;6603.727903;25.4683853
21250;0.64;6603.727903;25.4683853
21250;0.63;6613.166832;25.36408279
21250;0.62;6627.138516;25.26266368
21250;0.61;6645.921448;25.16423791
21250;0.6;6669.879695;25.06895731
21250;0.59;6699.443575;24.97699095
21250;0.58;6735.099807;24.88865128
21250;0.57;6777.354478;24.80418102
21250;0.56;6826.728902;24.72381091
21250;0.55;6883.767452;24.64776502
21250;0.54;6949.226963;24.57642427
21250;0.53;7024.001673;24.51024981
21250;0.52;7109.11238;24.44976536
21250;0.51;7205.538968;24.39540775
21250;0.5;7314.18936;24.34750152
21250;0.49;7432.936252;24.31047363
21250;0.48;7563.821153;24.28269904
21250;0.47;7706.960498;24.26003903
21250;0.46;7863.670818;24.24302396
21250;0.45;8035.468256;24.2322657
