Cruise Altitude[ft];CruiseMachNumber;BlockFuel[kg];BlockTime[min]
29000;0.55;6065.384821;315.3912596
29000;0.56;5979.000832;310.7870057
29000;0.57;5899.630048;306.3412616
29000;0.58;5827.524116;302.052351
29000;0.59;5762.589499;297.9180477
29000;0.6;5703.14773;293.9222043
29000;0.61;5648.767034;290.0583071
29000;0.62;5599.013644;286.3202098
29000;0.63;5553.454291;282.7021063
29000;0.64;5511.713545;279.1985354
29250;0.64;5511.713545;279.1985354
29250;0.63;5553.454291;282.7021063
29250;0.62;5599.013644;286.3202098
29250;0.61;5648.767034;290.0583071
29250;0.6;5703.14773;293.9222043
29250;0.59;5762.589497;297.9180476
29250;0.58;5827.524115;302.052351
29250;0.57;5899.630048;306.3412616
29250;0.56;5979.000832;310.7870057
29250;0.55;6065.384821;315.3912596
29250;0.54;6159.209526;320.1621232
29250;0.53;6260.862069;325.1081912
29250;0.52;6370.720514;330.2386019
29250;0.51;6489.15816;335.5630776
29250;0.5;6616.600068;341.0919722
29250;0.49;6758.662758;346.8369434
29250;0.48;6911.752686;352.8086459
29250;0.47;7077.312049;359.0192504
29250;0.46;7257.024787;365.4813485
29250;0.45;7452.81545;372.2077701
29500;0.45;7452.81545;372.2077701
29500;0.46;7257.024787;365.4813485
29500;0.47;7077.312049;359.0192504
29500;0.48;6911.752686;352.8086459
29500;0.49;6758.662758;346.8369434
29500;0.5;6616.600068;341.0919722
29500;0.51;6489.15816;335.5630776
29500;0.52;6370.720514;330.2386019
29500;0.53;6260.862069;325.1081912
29500;0.54;6159.209526;320.1621232
29500;0.55;6065.384821;315.3912596
29500;0.56;5979.000832;310.7870057
29500;0.57;5899.630048;306.3412616
29500;0.58;5827.524116;302.052351
29500;0.59;5762.589499;297.9180477
29500;0.6;5703.14773;293.9222043
29500;0.61;5648.767034;290.0583071
29500;0.62;5599.013644;286.3202098
29500;0.63;5553.454291;282.7021063
29500;0.64;5511.713545;279.1985354
29750;0.64;5511.713545;279.1985354
29750;0.63;5553.454291;282.7021063
29750;0.62;5599.013644;286.3202098
29750;0.61;5648.767034;290.0583071
29750;0.6;5703.14773;293.9222043
29750;0.59;5762.589497;297.9180476
29750;0.58;5827.524115;302.052351
29750;0.57;5899.630048;306.3412616
29750;0.56;5979.000832;310.7870057
29750;0.55;6065.384821;315.3912596
29750;0.54;6159.209526;320.1621232
29750;0.53;6260.862069;325.1081912
29750;0.52;6370.720514;330.2386019
29750;0.51;6489.15816;335.5630776
29750;0.5;6616.600068;341.0919722
29750;0.49;6758.662758;346.8369434
29750;0.48;6911.752686;352.8086459
29750;0.47;7077.312049;359.0192504
29750;0.46;7257.024787;365.4813485
29750;0.45;7452.81545;372.2077701
30000;0.45;7452.81545;372.2077701
30000;0.46;7257.024787;365.4813485
30000;0.47;7077.312049;359.0192504
30000;0.48;6911.752686;352.8086459
30000;0.49;6758.662758;346.8369434
30000;0.5;6616.600068;341.0919722
30000;0.51;6489.15816;335.5630776
30000;0.52;6370.720514;330.2386019
30000;0.53;6260.862069;325.1081912
30000;0.54;6159.209526;320.1621232
30000;0.55;6065.384821;315.3912596
30000;0.56;5979.000832;310.7870057
30000;0.57;5899.630048;306.3412616
30000;0.58;5827.524116;302.052351
30000;0.59;5762.589499;297.9180477
30000;0.6;5703.14773;293.9222043
30000;0.61;5648.767034;290.0583071
30000;0.62;5599.013644;286.3202098
30000;0.63;5553.454291;282.7021063
30000;0.64;5511.713545;279.1985354
30250;0.64;5511.713545;279.1985354
30250;0.63;5553.454291;282.7021063
30250;0.62;5599.013644;286.3202098
30250;0.61;5648.767034;290.0583071
30250;0.6;5703.14773;293.9222043
30250;0.59;5762.589497;297.9180476
30250;0.58;5827.524115;302.052351
30250;0.57;5899.630048;306.3412616
30250;0.56;5979.000832;310.7870057
30250;0.55;6065.384821;315.3912596
30250;0.54;6159.209526;320.1621232
30250;0.53;6260.862069;325.1081912
30250;0.52;6370.720514;330.2386019
30250;0.51;6489.15816;335.5630776
30250;0.5;6616.600068;341.0919722
30250;0.49;6758.662758;346.8369434
30250;0.48;6911.752686;352.8086459
30250;0.47;7077.312049;359.0192504
30250;0.46;7257.024787;365.4813485
30250;0.45;7452.81545;372.2077701
30500;0.45;7452.81545;372.2077701
30500;0.46;7257.024787;365.4813485
30500;0.47;7077.312049;359.0192504
30500;0.48;6911.752686;352.8086459
30500;0.49;6758.662758;346.8369434
30500;0.5;6616.600068;341.0919722
30500;0.51;6489.15816;335.5630776
30500;0.52;6370.720514;330.2386019
30500;0.53;6260.862069;325.1081912
30500;0.54;6159.209526;320.1621232
30500;0.55;6065.384821;315.3912596
30500;0.56;5979.000832;310.7870057
30500;0.57;5899.630048;306.3412616
30500;0.58;5827.524116;302.052351
30500;0.59;5762.589499;297.9180477
30500;0.6;5703.14773;293.9222043
30500;0.61;5648.767034;290.0583071
30500;0.62;5599.013644;286.3202098
30500;0.63;5553.454291;282.7021063
30500;0.64;5511.713545;279.1985354
30750;0.64;5511.713545;279.1985354
30750;0.63;5553.454291;282.7021063
30750;0.62;5599.013644;286.3202098
30750;0.61;5648.767034;290.0583071
30750;0.6;5703.14773;293.9222043
30750;0.59;5762.589497;297.9180476
30750;0.58;5827.524115;302.052351
30750;0.57;5899.630048;306.3412616
30750;0.56;5979.000832;310.7870057
30750;0.55;6065.384821;315.3912596
30750;0.54;6159.209526;320.1621232
30750;0.53;6260.862069;325.1081912
30750;0.52;6370.720514;330.2386019
30750;0.51;6489.15816;335.5630776
30750;0.5;6616.600068;341.0919722
30750;0.49;6758.662758;346.8369434
30750;0.48;6911.752686;352.8086459
30750;0.47;7077.312049;359.0192504
30750;0.46;7257.024787;365.4813485
30750;0.45;7452.81545;372.2077701
31000;0.45;7155.493724;370.7533954
31000;0.46;6982.52708;364.8922653
31000;0.47;6819.945524;359.1171074
31000;0.48;6667.572872;353.4659615
31000;0.49;6524.83743;347.9598472
31000;0.5;6391.031242;342.6094222
31000;0.51;6272.117197;337.4194209
31000;0.52;6160.300142;332.3917895
31000;0.53;6055.396012;327.5239957
31000;0.54;5957.197182;322.8123742
31000;0.55;5865.449558;318.2525356
31000;0.56;5779.878492;313.8396547
31000;0.57;5700.224836;309.5688865
31000;0.58;5626.319189;305.4367589
31000;0.59;5557.689662;301.4363661
31000;0.6;5494.000982;297.5625018
31000;0.61;5436.598078;293.8385454
31000;0.62;5383.702122;290.2397722
31000;0.63;5334.694583;286.7563543
31000;0.64;5289.262579;283.3834449
