Cruise Altitude[ft];CruiseMachNumber;BlockFuel[kg];BlockTime[min]
20500;0.57;7011.165551;292.6886799
20500;0.58;6979.589169;288.2776174
20500;0.59;6954.652113;284.0173304
20500;0.6;6935.849629;279.9003847
20500;0.61;6922.739088;275.9197813
20500;0.62;6914.953701;272.0689757
20500;0.63;6912.190762;268.3418417
20500;0.64;6914.24408;264.732647
20750;0.64;6914.24408;264.732647
20750;0.63;6912.190762;268.3418417
20750;0.62;6914.9537;272.0689757
20750;0.61;6922.739087;275.9197813
20750;0.6;6935.849629;279.9003846
20750;0.59;6954.652113;284.0173304
20750;0.58;6979.589169;288.2776174
20750;0.57;7011.165551;292.6886799
20750;0.56;7049.95294;297.2585742
20750;0.55;7096.563088;301.9959089
20750;0.54;7151.653617;306.9099043
20750;0.53;7215.928307;312.0104641
20750;0.52;7290.324785;317.3082636
20750;0.51;7375.929644;322.8148052
20750;0.5;7473.923475;328.5424894
20750;0.49;7579.471414;334.5040015
20750;0.48;7695.683967;340.7141031
20750;0.47;7826.455212;347.1932495
20750;0.46;7970.785762;353.9537509
20750;0.45;8129.792678;361.0134249
21000;0.45;8035.468256;363.613846
21000;0.46;7863.670818;356.567515
21000;0.47;7706.960498;349.8189829
21000;0.48;7563.821153;343.3499616
21000;0.49;7432.936252;337.1436094
21000;0.5;7314.18936;331.186774
21000;0.51;7205.538968;325.4671518
21000;0.52;7109.11238;319.9681023
21000;0.53;7024.001673;314.6773391
21000;0.54;6949.226963;309.5834414
21000;0.55;6883.767452;304.6757778
21000;0.56;6826.728902;299.9444629
21000;0.57;6777.354478;295.380299
21000;0.58;6735.099807;290.9747365
21000;0.59;6699.443575;286.7197925
21000;0.6;6669.879695;282.6080031
21000;0.61;6645.921448;278.6323258
21000;0.62;6627.138516;274.7862638
21000;0.63;6613.166832;271.0637169
21000;0.64;6603.727903;267.4589545
21250;0.64;6603.727903;267.4589544
21250;0.63;6613.166832;271.0637169
21250;0.62;6627.138516;274.7862638
